scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp0,2017,electicity cost by technology,Rest of America,,,Power,Hydro,,1000 USD/toe,0.8831141797497154
tfp0,2017,electicity generation by technology,Rest of America,,,Power,Wind,,million toe,0.33532205063696885
tfp0,2017,electicity cost by technology,Rest of America,,,Power,Wind,,1000 USD/toe,2.1526493430060882
tfp0,2017,electicity generation by technology,Rest of America,,,Power,Solar,,million toe,0.006550175032520243
tfp0,2017,electicity cost by technology,Rest of America,,,Power,Solar,,1000 USD/toe,8.771069848147956
tfp0,2017,electicity generation by technology,Rest of America,,,Power,Biomass,,million toe,0.0420035182534649
tfp0,2017,electicity cost by technology,Rest of America,,,Power,Biomass,,1000 USD/toe,5.64978032606415
tfp0,2017,electicity cost of TnD,Brazil,,,Power,TnD,,1000 USD/toe,0.4488623496120486
tfp0,2017,electicity generation by technology,Brazil,,,Power,Coal_Power,,million toe,2.7868004575381917
tfp0,2017,electicity cost by technology,Brazil,,,Power,Coal_Power,,1000 USD/toe,0.7720849994429057
tfp0,2017,electicity generation by technology,Brazil,,,Power,Oil_Power,,million toe,13.756512748739475
tfp0,2017,electicity cost by technology,Brazil,,,Power,Oil_Power,,1000 USD/toe,0.3094566845897036
tfp0,2017,electicity generation by technology,Brazil,,,Power,Gas_Power,,million toe,2.8220053010005297
tfp0,2017,electicity cost by technology,Brazil,,,Power,Gas_Power,,1000 USD/toe,1.299914691127863
tfp0,2017,electicity generation by technology,Brazil,,,Power,Nuclear,,million toe,0.8102081769377212
tfp0,2017,electicity cost by technology,Brazil,,,Power,Nuclear,,1000 USD/toe,1.1884447656942516
tfp0,2017,electicity generation by technology,Brazil,,,Power,Hydro,,million toe,52.01901505546593
tfp0,2017,electicity cost by technology,Brazil,,,Power,Hydro,,1000 USD/toe,0.7199928073896587
tfp0,2017,electicity generation by technology,Brazil,,,Power,Wind,,million toe,0.773687668311408
tfp0,2017,electicity cost by technology,Brazil,,,Power,Wind,,1000 USD/toe,1.9953603763167627
tfp0,2017,electicity generation by technology,Brazil,,,Power,Solar,,million toe,0.03864398153202223
tfp0,2017,electicity cost by technology,Brazil,,,Power,Solar,,1000 USD/toe,1.2496058866404378
tfp0,2017,electicity generation by technology,Brazil,,,Power,Biomass,,million toe,0.010792167223823557
tfp0,2017,electicity cost by technology,Brazil,,,Power,Biomass,,1000 USD/toe,18.879456899133366
tfp0,2017,electicity cost of TnD,"EU, UK and EFTA",,,Power,TnD,,1000 USD/toe,0.4406425684280429
tfp0,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Coal_Power,,million toe,85.2796666321348
tfp0,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Coal_Power,,1000 USD/toe,0.6993584272933336
tfp0,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Oil_Power,,million toe,49.170606448724975
tfp0,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Oil_Power,,1000 USD/toe,0.420229435228068
tfp0,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Gas_Power,,million toe,53.96042282730044
tfp0,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Gas_Power,,1000 USD/toe,0.8976052829377994
tfp0,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Nuclear,,million toe,164.8807052491863
tfp0,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Nuclear,,1000 USD/toe,0.57594497891387
tfp0,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Hydro,,million toe,67.6095151185657
tfp0,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Hydro,,1000 USD/toe,0.5556707414399547
tfp0,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Wind,,million toe,9.31272303105383
tfp0,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Wind,,1000 USD/toe,1.5634409472692086
tfp0,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Solar,,million toe,2.673093436120296
tfp0,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Solar,,1000 USD/toe,1.6736320909838527
tfp0,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Biomass,,million toe,2.48967493773759
tfp0,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Biomass,,1000 USD/toe,2.2839991813958482
tfp0,2017,electicity cost of TnD,Eastern Europe,,,Power,TnD,,1000 USD/toe,0.23306652503173853
tfp0,2017,electicity generation by technology,Eastern Europe,,,Power,Coal_Power,,million toe,6.471266386212089
tfp0,2017,electicity cost by technology,Eastern Europe,,,Power,Coal_Power,,1000 USD/toe,1.1747931167844254
tfp0,2017,electicity generation by technology,Eastern Europe,,,Power,Oil_Power,,million toe,0.3376943189734379
tfp0,2017,electicity cost by technology,Eastern Europe,,,Power,Oil_Power,,1000 USD/toe,1.1660079676414996
tfp0,2017,electicity generation by technology,Eastern Europe,,,Power,Gas_Power,,million toe,22.81517191362835
tfp0,2017,electicity cost by technology,Eastern Europe,,,Power,Gas_Power,,1000 USD/toe,0.5766375656018411
tfp0,2017,electicity generation by technology,Eastern Europe,,,Power,Nuclear,,million toe,10.250500409629073
tfp0,2017,electicity cost by technology,Eastern Europe,,,Power,Nuclear,,1000 USD/toe,1.1309376274355918
tfp0,2017,electicity generation by technology,Eastern Europe,,,Power,Hydro,,million toe,4.812908360497117
tfp0,2017,electicity cost by technology,Eastern Europe,,,Power,Hydro,,1000 USD/toe,0.896566388851539
tfp0,2017,electicity generation by technology,Eastern Europe,,,Power,Wind,,million toe,1.9089941838066653
tfp0,2017,electicity cost by technology,Eastern Europe,,,Power,Wind,,1000 USD/toe,0.7754094635617163
tfp0,2017,electicity generation by technology,Eastern Europe,,,Power,Solar,,million toe,0.16592903203315695
tfp0,2017,electicity cost by technology,Eastern Europe,,,Power,Solar,,1000 USD/toe,1.4740709167043047
tfp0,2017,electicity generation by technology,Eastern Europe,,,Power,Biomass,,million toe,0.0045959171383459715
tfp0,2017,electicity cost by technology,Eastern Europe,,,Power,Biomass,,1000 USD/toe,5.283231542754677
tfp0,2017,electicity cost of TnD,Russia,,,Power,TnD,,1000 USD/toe,0.1786248566830967
tfp0,2017,electicity generation by technology,Russia,,,Power,Coal_Power,,million toe,27.8169076784098
