scenario,year,species,region,commodity,sector,subsector,unit,value
tfp2,2017,energy,China,Power,Crops nec,,million toe,8.573743906950929
tfp2,2017,CO2,China,Coal,Crops nec,,million t,30.507615873660416
tfp2,2017,CO2,China,Oil,Crops nec,,million t,0.00020867933949202076
tfp2,2017,CO2,China,Gas,Crops nec,,million t,0.20397502967694423
tfp2,2017,CO2,China,Petro,Crops nec,,million t,26.106140375211943
tfp2,2017,energy,China,Coal,"Bovine cattle, sheep and goats, horses",,million toe,0.21002629176955762
tfp2,2017,energy,China,Oil,"Bovine cattle, sheep and goats, horses",,million toe,4.774262575699169e-6
tfp2,2017,energy,China,Gas,"Bovine cattle, sheep and goats, horses",,million toe,0.006967264078503255
tfp2,2017,energy,China,Petro,"Bovine cattle, sheep and goats, horses",,million toe,0.611045693507725
tfp2,2017,energy,China,Power,"Bovine cattle, sheep and goats, horses",,million toe,0.12022340671316385
tfp2,2017,CO2,China,Coal,"Bovine cattle, sheep and goats, horses",,million t,0.831853857612544
tfp2,2017,CO2,China,Oil,"Bovine cattle, sheep and goats, horses",,million t,1.4658514013694782e-5
tfp2,2017,CO2,China,Gas,"Bovine cattle, sheep and goats, horses",,million t,0.01636467241960028
tfp2,2017,CO2,China,Petro,"Bovine cattle, sheep and goats, horses",,million t,1.6807809615739102
tfp2,2017,energy,China,Coal,Animal products nec,,million toe,3.11306431664232
tfp2,2017,energy,China,Oil,Animal products nec,,million toe,3.0382499871205045e-5
tfp2,2017,energy,China,Gas,Animal products nec,,million toe,0.04331486334927862
tfp2,2017,energy,China,Petro,Animal products nec,,million toe,8.018276299418043
tfp2,2017,energy,China,Power,Animal products nec,,million toe,1.5978321969517326
tfp2,2017,CO2,China,Coal,Animal products nec,,million t,12.329953737653124
tfp2,2017,CO2,China,Oil,Animal products nec,,million t,9.328399136574649e-5
tfp2,2017,CO2,China,Gas,Animal products nec,,million t,0.10173772435644761
tfp2,2017,CO2,China,Petro,Animal products nec,,million t,22.191603835354762
tfp2,2017,energy,China,Coal,Forestry,,million toe,0.8627079665105033
tfp2,2017,energy,China,Oil,Forestry,,million toe,7.959613470384275e-6
tfp2,2017,energy,China,Gas,Forestry,,million toe,0.008551175550019535
tfp2,2017,energy,China,Petro,Forestry,,million toe,1.237899397612559
tfp2,2017,energy,China,Power,Forestry,,million toe,0.18750870844848513
tfp2,2017,CO2,China,Coal,Forestry,,million t,3.416938674458376
tfp2,2017,CO2,China,Oil,Forestry,,million t,2.443855935260673e-5
tfp2,2017,CO2,China,Gas,Forestry,,million t,0.020084956226098002
tfp2,2017,CO2,China,Petro,Forestry,,million t,3.4058246075257705
tfp2,2017,energy,China,Coal,Coal,,million toe,20.620974728505438
tfp2,2017,energy,China,Oil,Coal,,million toe,0.0014379928715025619
tfp2,2017,energy,China,Gas,Coal,,million toe,0.00238036495964467
tfp2,2017,energy,China,Petro,Coal,,million toe,2.1813442375816816
tfp2,2017,energy,China,Power,Coal,,million toe,7.992200192233827
tfp2,2017,CO2,China,Coal,Coal,,million t,81.67962278771033
tfp2,2017,CO2,China,Oil,Coal,,million t,0.006423967768272962
tfp2,2017,CO2,China,Gas,Coal,,million t,0.005545224091519055
tfp2,2017,CO2,China,Petro,Coal,,million t,7.27382440560893
tfp2,2017,energy,China,Coal,Oil,,million toe,0.0005439792099683918
tfp2,2017,energy,China,Oil,Oil,,million toe,2.8692142745951568
tfp2,2017,energy,China,Gas,Oil,,million toe,0.0220460869396367
tfp2,2017,energy,China,Petro,Oil,,million toe,0.4544526485495839
tfp2,2017,energy,China,Power,Oil,,million toe,2.717596798703639
tfp2,2017,CO2,China,Coal,Oil,,million t,0.0017630187027217004
tfp2,2017,CO2,China,Oil,Oil,,million t,8.809407405178158
tfp2,2017,CO2,China,Gas,Oil,,million t,0.05922746987564236
tfp2,2017,CO2,China,Petro,Oil,,million t,1.4240181046285962
tfp2,2017,energy,China,Coal,Gas,,million toe,9.41790352790788
tfp2,2017,energy,China,Oil,Gas,,million toe,0.12097007628547629
tfp2,2017,energy,China,Gas,Gas,,million toe,5.33101634979466
tfp2,2017,energy,China,Petro,Gas,,million toe,1.4119876581825823
tfp2,2017,energy,China,Power,Gas,,million toe,2.6164627986165145
tfp2,2017,CO2,China,Coal,Gas,,million t,0.014284047809303257
tfp2,2017,CO2,China,Oil,Gas,,million t,0.0
tfp2,2017,CO2,China,Gas,Gas,,million t,10.290617177847881
tfp2,2017,CO2,China,Petro,Gas,,million t,4.001784543566048
tfp2,2017,energy,China,Coal,Mine,,million toe,4.493733728402163
tfp2,2017,energy,China,Oil,Mine,,million toe,0.013099943074321628
tfp2,2017,energy,China,Gas,Mine,,million toe,0.6786458237562052
tfp2,2017,energy,China,Petro,Mine,,million toe,4.733420393402985
tfp2,2017,energy,China,Power,Mine,,million toe,12.58899522753973
tfp2,2017,CO2,China,Coal,Mine,,million t,16.307679028169318
tfp2,2017,CO2,China,Oil,Mine,,million t,0.0
tfp2,2017,CO2,China,Gas,Mine,,million t,1.6147539159464253
tfp2,2017,CO2,China,Petro,Mine,,million t,14.855436393761268
tfp2,2017,energy,China,Coal,Manufac,,million toe,362.0910865640134
tfp2,2017,energy,China,Oil,Manufac,,million toe,1.148610825235409
tfp2,2017,energy,China,Gas,Manufac,,million toe,42.27050717082195
tfp2,2017,energy,China,Petro,Manufac,,million toe,309.52606659904274
tfp2,2017,energy,China,Power,Manufac,,million toe,389.1314801731193
tfp2,2017,CO2,China,Coal,Manufac,,million t,1381.8099517491378
tfp2,2017,CO2,China,Oil,Manufac,,million t,3.3460343261713925
tfp2,2017,CO2,China,Gas,Manufac,,million t,86.98843383360311
tfp2,2017,CO2,China,Petro,Manufac,,million t,1188.7107058990107
tfp2,2017,energy,China,Coal,Petro,,million toe,391.10893144293857
tfp2,2017,energy,China,Oil,Petro,,million toe,603.0904087168601
tfp2,2017,energy,China,Gas,Petro,,million toe,8.17117342668852
tfp2,2017,energy,China,Petro,Petro,,million toe,232.70910547193
tfp2,2017,energy,China,Power,Petro,,million toe,18.998291241716487
tfp2,2017,CO2,China,Coal,Petro,,million t,51.495937924383576
tfp2,2017,CO2,China,Oil,Petro,,million t,6.792729928590132e-8
tfp2,2017,CO2,China,Gas,Petro,,million t,18.919739355430085
tfp2,2017,CO2,China,Petro,Petro,,million t,107.62019630686146
tfp2,2017,energy,China,Coal,WatWaste,,million toe,0.07668861113458392
tfp2,2017,energy,China,Oil,WatWaste,,million toe,0.010868784916611035
tfp2,2017,energy,China,Gas,WatWaste,,million toe,0.045749698792612904
tfp2,2017,energy,China,Petro,WatWaste,,million toe,0.045724481467896545
tfp2,2017,energy,China,Power,WatWaste,,million toe,5.793816198345774
tfp2,2017,CO2,China,Coal,WatWaste,,million t,0.3026805139603316
tfp2,2017,CO2,China,Oil,WatWaste,,million t,0.03336979645913444
tfp2,2017,CO2,China,Gas,WatWaste,,million t,0.10730099617085333
tfp2,2017,CO2,China,Petro,WatWaste,,million t,0.11778648495847006
tfp2,2017,energy,China,Coal,OthServ,,million toe,40.164982198358594
tfp2,2017,energy,China,Oil,OthServ,,million toe,0.05159007250583918
tfp2,2017,energy,China,Gas,OthServ,,million toe,20.16184677242767
tfp2,2017,energy,China,Petro,OthServ,,million toe,37.95104570449311
tfp2,2017,energy,China,Power,OthServ,,million toe,106.76287027886552
tfp2,2017,CO2,China,Coal,OthServ,,million t,157.42503413947225
