scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp1,2017,electicity cost by technology,Brazil,,,Power,Gas_Power,,1000 USD/toe,1.300124049335367
tfp1,2017,electicity generation by technology,Brazil,,,Power,Nuclear,,million toe,0.8123983876161449
tfp1,2017,electicity cost by technology,Brazil,,,Power,Nuclear,,1000 USD/toe,1.188435386181714
tfp1,2017,electicity generation by technology,Brazil,,,Power,Hydro,,million toe,52.156649013366035
tfp1,2017,electicity cost by technology,Brazil,,,Power,Hydro,,1000 USD/toe,0.7200077444802983
tfp1,2017,electicity generation by technology,Brazil,,,Power,Wind,,million toe,0.6879334228945456
tfp1,2017,electicity cost by technology,Brazil,,,Power,Wind,,1000 USD/toe,2.1189161155712375
tfp1,2017,electicity generation by technology,Brazil,,,Power,Solar,,million toe,0.03133205626254752
tfp1,2017,electicity cost by technology,Brazil,,,Power,Solar,,1000 USD/toe,1.3896400889370095
tfp1,2017,electicity generation by technology,Brazil,,,Power,Biomass,,million toe,0.010818924135925816
tfp1,2017,electicity cost by technology,Brazil,,,Power,Biomass,,1000 USD/toe,18.88141683559497
tfp1,2017,electicity cost of TnD,"EU, UK and EFTA",,,Power,TnD,,1000 USD/toe,0.440678952320661
tfp1,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Coal_Power,,million toe,85.53038689591999
tfp1,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Coal_Power,,1000 USD/toe,0.699644998391128
tfp1,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Oil_Power,,million toe,49.331562739239835
tfp1,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Oil_Power,,1000 USD/toe,0.42033176149957474
tfp1,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Gas_Power,,million toe,54.11698515036243
tfp1,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Gas_Power,,1000 USD/toe,0.8979903456593613
tfp1,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Nuclear,,million toe,165.48149016269116
tfp1,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Nuclear,,1000 USD/toe,0.5759789286701995
tfp1,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Hydro,,million toe,67.85326612265108
tfp1,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Hydro,,1000 USD/toe,0.5557141489166401
tfp1,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Wind,,million toe,8.881264490476855
tfp1,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Wind,,1000 USD/toe,1.6039758171510374
tfp1,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Solar,,million toe,2.2720208821116854
tfp1,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Solar,,1000 USD/toe,1.8187637834251313
tfp1,2017,electicity generation by technology,"EU, UK and EFTA",,,Power,Biomass,,million toe,2.4986411602024723
tfp1,2017,electicity cost by technology,"EU, UK and EFTA",,,Power,Biomass,,1000 USD/toe,2.2841820551516836
tfp1,2017,electicity cost of TnD,Eastern Europe,,,Power,TnD,,1000 USD/toe,0.23307098401588122
tfp1,2017,electicity generation by technology,Eastern Europe,,,Power,Coal_Power,,million toe,6.480594897013774
tfp1,2017,electicity cost by technology,Eastern Europe,,,Power,Coal_Power,,1000 USD/toe,1.1750859156683449
tfp1,2017,electicity generation by technology,Eastern Europe,,,Power,Oil_Power,,million toe,0.3382041164079197
tfp1,2017,electicity cost by technology,Eastern Europe,,,Power,Oil_Power,,1000 USD/toe,1.1662589156120136
tfp1,2017,electicity generation by technology,Eastern Europe,,,Power,Gas_Power,,million toe,22.851087489060003
tfp1,2017,electicity cost by technology,Eastern Europe,,,Power,Gas_Power,,1000 USD/toe,0.5767430818614535
tfp1,2017,electicity generation by technology,Eastern Europe,,,Power,Nuclear,,million toe,10.27213798913972
tfp1,2017,electicity cost by technology,Eastern Europe,,,Power,Nuclear,,1000 USD/toe,1.1308416381234663
