,,TnD,Coal_Power,Oil_Power,Gas_Power,Nuclear,Hydro,Wind,Solar,Biomass
1999,United States,0,2013170.0,127664.0,568879.0,771811.0,249039.0,4802.0,161.0,65670.0
1999,Rest of America,0,28058.0,118270.0,50568.0,17108.0,244773.0,130.0,7.0,5284.0
1999,Brazil,0,-160463.0,14791.0,-22900.0,3977.0,253520.0,-65.0,-34.0,6438.0
1999,EUPlus,0,-141890.0,123484.0,425001.0,915849.0,331687.0,13737.0,79.0,39763.0
1999,Eastern Europe,0,-858093.0,-200727.0,-399031.0,-897149.0,-524256.0,-14228.0,-96.0,-43418.0
1999,Russia,0,122360.0,39317.0,358271.0,121874.0,132225.0,2.0,0.0,2075.0
1999,North Africa,0,-201554.0,-119681.0,-176424.0,-316616.0,-79890.0,-14.0,-254.0,-9604.0
1999,Sub Saharan,0,-58679.0,-67351.0,-132592.0,0.0,9642.0,0.0,1.0,-794.0
1999,South Africa,0,25321.0,-40902.0,-358633.0,-109037.0,-158055.0,-2.0,0.0,-1878.0
2000,Australia_Oceania,0,-1843023.0,-133938.0,-556241.0,-771811.0,-260640.0,-4624.0,-124.0,-64249.0
2000,China,0,1060575.0,-172653.0,-353424.0,51238.0,123028.0,540.0,14.0,4036.0
2000,Japan,0,-158318.0,107852.0,198596.0,305148.0,22355.0,-1576.0,355.0,8997.0
2000,South Korea,0,-82024.0,34581.0,29461.0,95954.0,1676.0,17.0,5.0,-214.0
2000,Rest of World,0,11070.0,-151625.0,-135360.0,-14398.0,-252630.0,-239.0,-13.0,-5447.0
2000,Southeast Asia,0,-32384.0,37515.0,124861.0,-108964.0,45078.0,-17.0,-4.0,912.0
2000,"Central, Western and South Asia",0,-11125.0,236356.0,355622.0,-68797.0,-250364.0,-188.0,-8.0,-8049.0
2000,India,0,331958.0,22172.0,-3375.0,-60439.0,57962.0,1678.0,2.0,215.0
2000,Canada,0,106582.0,-479.0,29404.0,66753.0,54217.0,262.0,16.0,382.0
2000,United States,0,2124001.0,109925.0,621900.0,797718.0,223754.0,5650.0,179.0,70991.0
2000,Rest of America,0,23333.0,129571.0,51025.0,14398.0,264966.0,38.0,13.0,5447.0
2000,Brazil,0,-164785.0,13385.0,-21624.0,6046.0,263250.0,-176.0,-38.0,5856.0
2000,EUPlus,0,-199148.0,103143.0,444957.0,916199.0,342473.0,21641.0,103.0,44016.0
2000,Eastern Europe,0,-913325.0,-178400.0,-421288.0,-894098.0,-557257.0,-22251.0,-125.0,-48229.0
2000,Russia,0,132429.0,31412.0,369979.0,130715.0,138570.0,2.0,0.0,2538.0
2000,North Africa,0,-219422.0,-109427.0,-169832.0,-322050.0,-82348.0,93.0,-357.0,-9212.0
2000,Sub Saharan,0,-73514.0,-63539.0,-141932.0,0.0,5544.0,0.0,3.0,-283.0
2000,South Africa,0,17804.0,-33091.0,-370372.0,-117705.0,-161441.0,-2.0,0.0,-2231.0
2001,Australia_Oceania,0,-1940592.0,-116438.0,-604862.0,-797718.0,-241374.0,-5301.0,-139.0,-69645.0
2001,China,0,1129893.0,-168011.0,-391234.0,48680.0,182011.0,649.0,23.0,4555.0
2001,Japan,0,-161133.0,82496.0,198322.0,300384.0,20176.0,-1990.0,545.0,8243.0
2001,South Korea,0,-71729.0,35676.0,33615.0,101414.0,2060.0,13.0,6.0,-197.0
2001,Rest of World,0,11526.0,-150593.0,-149520.0,-15785.0,-248802.0,-261.0,-15.0,-7491.0
2001,Southeast Asia,0,-35237.0,29754.0,135967.0,-112133.0,49833.0,-13.0,-4.0,1336.0
2001,"Central, Western and South Asia",0,-2798.0,225704.0,393073.0,-72417.0,-228840.0,-225.0,-11.0,-8419.0
2001,India,0,348153.0,19922.0,-3462.0,-56694.0,57481.0,2225.0,2.0,497.0
2001,Canada,0,106728.0,1076.0,26060.0,62416.0,65554.0,302.0,19.0,-368.0
2001,United States,0,1975346.0,120665.0,646932.0,792604.0,154054.0,6806.0,214.0,63775.0
2001,Rest of America,0,21130.0,130916.0,58460.0,15785.0,259765.0,-166.0,15.0,7491.0
2001,Brazil,0,-177743.0,13774.0,-19507.0,14279.0,229264.0,-314.0,-44.0,6912.0
2001,EUPlus,0,-270151.0,99843.0,459452.0,952839.0,292163.0,25973.0,165.0,50659.0
2001,Eastern Europe,0,-917884.0,-171681.0,-437876.0,-929628.0,-562549.0,-26718.0,-196.0,-55407.0
2001,Russia,0,124478.0,28330.0,376243.0,136935.0,148817.0,3.0,0.0,2868.0
2001,North Africa,0,-232332.0,-83800.0,-162695.0,-319859.0,-77802.0,176.0,-547.0,-8740.0
2001,Sub Saharan,0,-81416.0,-56544.0,-156600.0,0.0,4869.0,0.0,4.0,-674.0
2001,South Africa,0,26383.0,-30014.0,-376744.0,-126216.0,-171938.0,-3.0,0.0,-2561.0
2002,Australia_Oceania,0,-1804731.0,-127111.0,-618035.0,-792604.0,-173803.0,-6287.0,-170.0,-62382.0
2002,China,0,1297307.0,-177172.0,-412497.0,60658.0,170149.0,793.0,38.0,5075.0
2002,Japan,0,-161078.0,102998.0,195223.0,275705.0,22381.0,-2273.0,641.0,8130.0
2002,South Korea,0,-70085.0,31595.0,41774.0,107112.0,917.0,15.0,7.0,-28.0
2002,Rest of World,0,7720.0,-140633.0,-164951.0,-15568.0,-252082.0,-362.0,-15.0,-7723.0
2002,Southeast Asia,0,-39497.0,34142.0,148837.0,-119103.0,48372.0,-15.0,-5.0,1412.0
2002,"Central, Western and South Asia",0,-6978.0,235003.0,421360.0,-71504.0,-226480.0,-312.0,-12.0,-8911.0
2002,India,0,364810.0,21836.0,2051.0,-58600.0,55661.0,2665.0,3.0,909.0
2002,Canada,0,108633.0,455.0,21429.0,61690.0,64573.0,347.0,22.0,-1169.0
2002,United States,0,2032936.0,96426.0,695176.0,804519.0,227239.0,10459.0,254.0,69193.0
2002,Rest of America,0,24984.0,118451.0,65414.0,15568.0,265412.0,-36.0,15.0,7723.0
2002,Brazil,0,-168185.0,10993.0,-29473.0,13836.0,245167.0,-458.0,-50.0,8054.0
2002,EUPlus,0,-420455.0,115033.0,483397.0,952750.0,232479.0,35508.0,237.0,55584.0
2002,Eastern Europe,0,-929317.0,-184321.0,-465261.0,-939440.0,-513054.0,-36375.0,-285.0,-60798.0
2002,Russia,0,126125.0,25713.0,384240.0,141629.0,137094.0,6.0,0.0,2801.0
2002,North Africa,0,-250609.0,-103389.0,-158067.0,-295095.0,-78035.0,-16.0,-644.0,-9039.0
2002,Sub Saharan,0,-87612.0,-56033.0,-173355.0,0.0,10833.0,0.0,5.0,-827.0
2002,South Africa,0,33577.0,-27405.0,-384744.0,-129638.0,-159796.0,-6.0,0.0,-2542.0
2003,Australia_Oceania,0,-1864775.0,-104457.0,-673343.0,-804519.0,-251645.0,-9609.0,-203.0,-67872.0
2003,China,0,1543320.0,-163375.0,-461290.0,78476.0,150195.0,957.0,53.0,5473.0
2003,Japan,0,-160220.0,107265.0,195324.0,222233.0,23188.0,-2764.0,855.0,8089.0
2003,South Korea,0,-83393.0,31619.0,42492.0,117009.0,3221.0,19.0,8.0,-12.0
2003,Rest of World,0,5815.0,-139820.0,-194725.0,-18068.0,-250765.0,-412.0,-15.0,-7766.0
2003,Southeast Asia,0,-31460.0,25668.0,175749.0,-129672.0,46700.0,-25.0,-6.0,1916.0
2003,"Central, Western and South Asia",0,4831.0,216151.0,469486.0,-71134.0,-197175.0,-720.0,-12.0,-8968.0
2003,India,0,379855.0,23636.0,7663.0,-63626.0,66218.0,3559.0,3.0,1460.0
2003,Canada,0,103539.0,10827.0,19940.0,61534.0,31940.0,765.0,23.0,-2835.0
2003,United States,0,2078067.0,126760.0,653698.0,787818.0,242198.0,11300.0,290.0,68725.0
2003,Rest of America,0,30439.0,116967.0,86416.0,18068.0,262742.0,-159.0,15.0,7766.0
2003,Brazil,0,-165797.0,9074.0,-25979.0,13358.0,265506.0,-789.0,-58.0,9757.0
2003,EUPlus,0,-619384.0,97336.0,529126.0,941113.0,201088.0,43752.0,373.0,58357.0
2003,Eastern Europe,0,-983014.0,-169808.0,-505232.0,-941941.0,-476932.0,-44784.0,-437.0,-63921.0
2003,Russia,0,124205.0,25602.0,406220.0,150342.0,131003.0,9.0,0.0,1808.0
2003,North Africa,0,-266269.0,-108421.0,-159280.0,-240013.0,-89398.0,-255.0,-858.0,-9549.0
2003,Sub Saharan,0,-97503.0,-47036.0,-201747.0,0.0,9923.0,0.0,8.0,-1356.0
2003,South Africa,0,45405.0,-27111.0,-406758.0,-137679.0,-154038.0,-3.0,0.0,-1549.0
2004,Australia_Oceania,0,-1901327.0,-135602.0,-632418.0,-787818.0,-262156.0,-10233.0,-232.0,-67098.0
2004,China,0,1739405.0,-157590.0,-489778.0,84963.0,211462.0,1235.0,64.0,5659.0
2004,Japan,0,-173423.0,100314.0,180423.0,265431.0,12456.0,-3187.0,1115.0,6115.0
2004,South Korea,0,-84098.0,29480.0,59399.0,117350.0,1255.0,35.0,10.0,126.0
2004,Rest of World,0,10832.0,-138168.0,-210303.0,-17063.0,-259684.0,-442.0,-19.0,-8138.0
2004,Southeast Asia,0,-31259.0,37731.0,169621.0,-130715.0,47859.0,-47.0,-8.0,1903.0
2004,"Central, Western and South Asia",0,23565.0,217587.0,510342.0,-85391.0,-192308.0,-832.0,-1.0,-8731.0
2004,India,0,411088.0,20434.0,3959.0,-70011.0,72814.0,4456.0,3.0,3863.0
2004,Canada,0,90674.0,11083.0,15094.0,78776.0,20149.0,893.0,13.0,-3656.0
2004,United States,0,2084575.0,128781.0,710849.0,813339.0,229953.0,14291.0,366.0,70106.0
2004,Rest of America,0,25825.0,103744.0,104033.0,17063.0,276258.0,-280.0,18.0,8138.0
2004,Brazil,0,-171417.0,10715.0,-18510.0,11611.0,277229.0,-1006.0,-68.0,10042.0
2004,EUPlus,0,-844394.0,65323.0,563349.0,945436.0,154553.0,58363.0,636.0,69506.0
