technology,removed_country,definition,year,Q_global_gw,national_stock_gw,national_2009_stock_gw,removed_experience_gw,Q_counterfactual_gw,Q_ratio
wind,CHN,remove_all_historical_stock,2011,216.24613,46.02,17.59791,46.02,170.22612999999998,0.7871869429524588
wind,CHN,remove_all_historical_stock,2012,261.36127,61.13234,17.59791,61.13234,200.22893,0.7661002335962019
wind,CHN,remove_all_historical_stock,2013,292.27612,76.103,17.59791,76.103,216.17311999999998,0.7396195077449365
wind,CHN,remove_all_historical_stock,2014,340.63979000000006,96.13,17.59791,96.13,244.50979000000007,0.7177957395992993
wind,CHN,remove_all_historical_stock,2015,404.24651,130.191,17.59791,130.191,274.05551,0.6779415609549728
wind,CHN,remove_all_historical_stock,2016,452.48745,146.69420000000002,17.59791,146.69420000000002,305.79325,0.6758049311643891
wind,CHN,remove_all_historical_stock,2017,495.6822,161.21609,17.59791,161.21609,334.46611,0.6747591702909647
wind,CHN,remove_all_historical_stock,2018,539.4404499999999,179.67573000000002,17.59791,179.67573000000002,359.7647199999999,0.6669220300405725
wind,CHN,remove_all_historical_stock,2019,594.24654,203.22,17.59791,203.22,391.02653999999995,0.6580207265489505
wind,CHN,remove_all_historical_stock,2020,698.33524,272.54,17.59791,272.54,425.79524,0.6097289891886309
wind,CHN,remove_all_historical_stock,2021,769.27527,302.09,17.59791,302.09,467.18527,0.6073057177569221
wind,CHN,remove_all_historical_stock,2022,839.7858299999999,334.98,17.59791,334.98,504.8058299999999,0.6011125836691005
wind,CHN,remove_all_historical_stock,2023,943.12808,404.05,17.59791,404.05,539.07808,0.5715852294420075
wind,CHN,remove_all_historical_stock,2024,1049.19276,479.41,17.59791,479.41,569.7827599999998,0.5430677581114836
wind,USA,no_additions_since_2010,2010,177.71164000000002,39.135,34.296,4.838999999999999,172.87264000000002,0.9727704949433813
wind,USA,no_additions_since_2010,2011,216.24613,45.676,34.296,11.380000000000003,204.86613,0.9473747807648627
wind,USA,no_additions_since_2010,2012,261.36127,59.075,34.296,24.779000000000003,236.58227,0.905192532925785
wind,USA,no_additions_since_2010,2013,292.27612,59.973,34.296,25.677,266.59911999999997,0.9121481426535974
wind,USA,no_additions_since_2010,2014,340.63979000000006,64.232,34.296,29.936,310.7037900000001,0.9121183112518947
wind,USA,no_additions_since_2010,2015,404.24651,72.573,34.296,38.276999999999994,365.96951,0.905312726138316
wind,USA,no_additions_since_2010,2016,452.48745,81.257,34.296,46.961000000000006,405.52645,0.8962159060986111
wind,USA,no_additions_since_2010,2017,495.6822,87.56819999999999,34.296,53.27219999999999,442.41,0.8925275105702807
wind,USA,no_additions_since_2010,2018,539.4404499999999,94.4874,34.296,60.191399999999994,479.24904999999995,0.8884188236162119
wind,USA,no_additions_since_2010,2019,594.24654,103.64089999999999,34.296,69.3449,524.90164,0.8833061779375275
wind,USA,no_additions_since_2010,2020,698.33524,118.44839999999999,34.296,84.1524,614.1828399999999,0.8794956989425308
wind,USA,no_additions_since_2010,2021,769.27527,132.8111,34.296,98.51510000000002,670.76017,0.8719377785275745
wind,USA,no_additions_since_2010,2022,839.7858299999999,141.4599,34.296,107.16390000000001,732.6219299999999,0.872391392934077
wind,USA,no_additions_since_2010,2023,943.12808,147.479,34.296,113.18300000000002,829.94508,0.8799919094763884
wind,USA,no_additions_since_2010,2024,1049.19276,152.4814,34.296,118.18540000000002,931.0073599999998,0.887355875387474
wind,USA,remove_all_historical_stock,2010,177.71164000000002,39.135,34.296,39.135,138.57664000000003,0.7797836990306319
wind,USA,remove_all_historical_stock,2011,216.24613,45.676,34.296,45.676,170.57013,0.7887777228660694
wind,USA,remove_all_historical_stock,2012,261.36127,59.075,34.296,59.075,202.28627,0.7739718666044132
wind,USA,remove_all_historical_stock,2013,292.27612,59.973,34.296,59.973,232.30311999999998,0.7948070475275228
wind,USA,remove_all_historical_stock,2014,340.63979000000006,64.232,34.296,64.232,276.4077900000001,0.8114371782580069
wind,USA,remove_all_historical_stock,2015,404.24651,72.573,34.296,72.573,331.67351,0.8204734037159653
wind,USA,remove_all_historical_stock,2016,452.48745,81.257,34.296,81.257,371.23045,0.8204215387631193
wind,USA,remove_all_historical_stock,2017,495.6822,87.56819999999999,34.296,87.56819999999999,408.11400000000003,0.8233380177863963
