model_id,technology,iso3,country_name,spec,n,df_resid,first_year,last_year,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,SE_OLS,p_OLS,p_BH_within_technology_spec
pv__CHN__annual_difference,pv,CHN,China,annual_difference,14,12,2011,2024,const,-0.33581031871497835,0.09175619574487431,0.0032673339309630847,-0.5357298952053678,-0.13589074222458886,***,0.13063803180142128,0.02452117734204044,
pv__CHN__annual_difference,pv,CHN,China,annual_difference,14,12,2011,2024,lnQ,0.848754786914005,0.206299801506459,0.001435501261352769,0.39926613263392996,1.29824344119408,***,0.4496542126975672,0.08349899723900596,0.00789525693744023
pv__DEU__main_level,pv,DEU,Germany,main_level,15,13,2010,2024,const,8.844952758324474,0.3399183307552742,1.3426830978407234e-12,8.110603850803628,9.579301665845321,***,0.3518373839037345,2.0845376110768997e-12,
pv__DEU__main_level,pv,DEU,Germany,main_level,15,13,2010,2024,lnQ,-0.384829060580243,0.057113107282472604,1.3875086316912561e-05,-0.5082144274264936,-0.26144369373399245,***,0.05947599637521766,2.0986179260446546e-05,3.0525189897207635e-05
pv__DEU__annual_difference,pv,DEU,Germany,annual_difference,14,12,2011,2024,const,-0.01764023573997387,0.21097287577121895,0.9347421793779631,-0.4773106441820956,0.4420301727021479,,0.2409440836519639,0.9428428360680386,
pv__DEU__annual_difference,pv,DEU,Germany,annual_difference,14,12,2011,2024,lnQ,-0.29172849477893664,0.5324719242326729,0.5938220854976449,-1.4518851547346796,0.8684281651768062,,0.8293260449862496,0.7311136637173115,0.773904848129292
pv__ESP__main_level,pv,ESP,Spain,main_level,12,10,2010,2024,const,9.51161655735587,0.39106436328160293,3.145357285857006e-10,8.640270855900855,10.382962258810885,***,0.49806857729512416,3.3697263692803693e-09,
pv__ESP__main_level,pv,ESP,Spain,main_level,12,10,2010,2024,lnQ,-0.46912051526015897,0.06826362303864156,4.339125827758824e-05,-0.6212213459299015,-0.3170196845904164,***,0.08426704253194944,0.0002383594646834063,6.818626300763866e-05
pv__ESP__annual_difference,pv,ESP,Spain,annual_difference,10,8,2011,2024,const,-0.010069701246276033,0.3006019767930566,0.9740978116699751,-0.7032591027816113,0.6831197002890592,,0.42736515766391164,0.9817788687546878,
pv__ESP__annual_difference,pv,ESP,Spain,annual_difference,10,8,2011,2024,lnQ,-0.5005146756248714,0.6398284622318344,0.45658680061987655,-1.9759617553528042,0.9749324041030613,,1.3934474317884773,0.7287476327215316,0.7174935438312345
pv__FRA__main_level,pv,FRA,France,main_level,15,13,2010,2024,const,10.395535079644683,0.748214433064021,3.5385688487534973e-09,8.779116070140095,12.01195408914927,***,0.616944042286637,3.2618675978262456e-10,
pv__FRA__main_level,pv,FRA,France,main_level,15,13,2010,2024,lnQ,-0.5680182225907597,0.12893779758713833,0.0007106042740903282,-0.846571399131357,-0.28946504605016243,***,0.10429068456463897,0.00011188840479890696,0.00086851633499929
pv__FRA__annual_difference,pv,FRA,France,annual_difference,14,12,2011,2024,const,-0.2473881628544541,0.22436807849700482,0.2918232765584755,-0.7362442108515115,0.24146788514260328,,0.2818838594887494,0.3973785277048807,
pv__FRA__annual_difference,pv,FRA,France,annual_difference,14,12,2011,2024,lnQ,0.5500158493893521,0.6047433406746594,0.38098949650967695,-0.7676066999284139,1.8676383987071181,,0.9702401602561982,0.5812404389355182,0.6984807436010744
pv__IND__main_level,pv,IND,India,main_level,15,13,2010,2024,const,10.659661622614488,0.48366608105071246,1.1119623248224738e-11,9.614764580918337,11.704558664310639,***,0.4474684394599007,4.138316146207276e-12,
pv__IND__main_level,pv,IND,India,main_level,15,13,2010,2024,lnQ,-0.7017656828234162,0.08638887983950572,1.8905447802897687e-06,-0.8883975110956147,-0.5151338545512177,***,0.07564185189207484,4.2643148435896083e-07,6.8095158528704e-06
