model_id,year,y,logQ,logG,logM,fitted,residual
USA__updated_main__B,2011,1.0121245199443458,4.252328599622632,10.605666325206338,4.509679808932987,0.7174671490237685,0.2946573709205773
USA__updated_main__B,2012,0.3569511942516002,4.598290072191402,10.661033635112348,3.523311081544699,0.47924476739227373,-0.12229357314067352
USA__updated_main__B,2013,-0.1533604531897466,4.90117475518874,10.685875142695629,3.015723559908184,0.1939490304922984,-0.34730948368204495
USA__updated_main__B,2014,-0.1343671682116031,5.151279397977148,10.713605552327314,3.26713839072327,-0.01819490776819066,-0.11617226044341245
USA__updated_main__B,2015,-0.1413234108507973,5.39300057712095,10.736031795649817,3.164990795937875,-0.23743278528785794,0.09610937443706064
USA__updated_main__B,2016,-0.16757233602876334,5.674382328161501,10.780205441271315,2.929240932529897,-0.43397411849135636,0.26640178246259305
USA__updated_main__B,2017,-0.7961835122749041,5.951553934028465,10.835830693477304,2.891409513410439,-0.588243928706703,-0.2079395835682012
USA__updated_main__B,2018,-0.5232843431649703,6.17063993071869,10.908545054584073,2.956890415537674,-0.6168418671961007,0.09355752403113038
USA__updated_main__B,2019,-0.7261858339880062,6.363208897541072,10.939093631999517,2.5071504398904505,-0.7503177162700609,0.024131882282054762
USA__updated_main__B,2020,-0.7731265254241907,6.566156825734936,10.990309486591185,2.4948890766393457,-0.8292249511327299,0.05609842570853918
USA__updated_main__B,2021,-0.903934598743685,6.751017535589894,11.049462947605978,3.442230801592228,-0.8605041086726359,-0.043430490071049044
USA__updated_main__B,2022,-0.896924640048022,6.952593472965691,11.132692972869016,3.62475566987548,-0.8338000798907927,-0.06312456015722923
USA__updated_main__B,2023,-0.9187655491935207,7.2503426514181,11.225127641533527,2.737118000531579,-0.8934083791402472,-0.025357170053273537
USA__updated_main__B,2024,-1.0615763195895638,7.530490596047716,11.254715294682578,1.547562508716013,-1.135821307312547,0.07424498772298316
USA__updated_main__C,2010,1.1251235264312904,3.682166724070565,10.512736686478211,4.456192445165693,1.1065361954879718,0.01858733094331866
USA__updated_main__C,2011,1.0121245199443458,4.252328599622632,10.605641549672672,4.509679808932987,0.7453026098683897,0.2668219100759561
USA__updated_main__C,2012,0.3569511942516002,4.598290072191402,10.661010194065058,3.523311081544699,0.45831805187755903,-0.10136685762595882
USA__updated_main__C,2013,-0.1533604531897466,4.90117475518874,10.685852276792648,3.015723559908184,0.1593910448978262,-0.3127514980875728
USA__updated_main__C,2014,-0.1343671682116031,5.151279397977148,10.713583311801187,3.26713839072327,-0.02331376634088339,-0.11105340187071971
USA__updated_main__C,2015,-0.1413234108507973,5.39300057712095,10.736010048349293,3.164990795937875,-0.2348661476928136,0.0935427368420163
USA__updated_main__C,2016,-0.16757233602876334,5.674382328161501,10.780184633729247,2.929240932529897,-0.43479906114698974,0.2672267251182264
USA__updated_main__C,2017,-0.7961835122749041,5.951553934028465,10.835811011768737,2.891409513410439,-0.5833330190467377,-0.2128504932281664
USA__updated_main__C,2018,-0.5232843431649703,6.17063993071869,10.908526753237249,2.956890415537674,-0.6091347626654772,0.08585041950050687
USA__updated_main__C,2019,-0.7261858339880062,6.363208897541072,10.939075881284436,2.5071504398904505,-0.7633637371680376,0.037177903180031446
USA__updated_main__C,2020,-0.7731265254241907,6.566156825734936,10.9902926221134,2.4948890766393457,-0.839936632226219,0.06681010680202826
USA__updated_main__C,2021,-0.903934598743685,6.751017535589894,11.049447051795886,3.442230801592228,-0.811512005299869,-0.09242259344381598
USA__updated_main__C,2022,-0.896924640048022,6.952593472965691,11.132678346516066,3.62475566987548,-0.7788910025562357,-0.1180336374917863
USA__updated_main__C,2023,-0.9187655491935207,7.2503426514181,11.225114306567848,2.737118000531579,-0.8950908933572458,-0.023674655836274927
USA__updated_main__C,2024,-1.0615763195895638,7.530490596047716,11.254702348489987,1.547562508716013,-1.1977123247114352,0.1361360051218714
USA__updated_main__D,2010,1.1251235264312904,3.682166724070565,10.512736686478211,4.456192445165693,1.10469646924831,0.020427057182980324
USA__updated_main__D,2011,1.0121245199443458,4.252328599622632,10.605641549672672,4.509679808932987,0.7174674440783235,0.2946570758660223
USA__updated_main__D,2012,0.3569511942516002,4.598290072191402,10.661010194065058,3.523311081544699,0.4792456375222187,-0.1222944432706185
USA__updated_main__D,2013,-0.1533604531897466,4.90117475518874,10.685852276792648,3.015723559908184,0.19394933322048757,-0.34730978641023413
USA__updated_main__D,2014,-0.1343671682116031,5.151279397977148,10.713583311801187,3.26713839072327,-0.018194846233477335,-0.11617232197812577
USA__updated_main__D,2015,-0.1413234108507973,5.39300057712095,10.736010048349293,3.164990795937875,-0.23743315958265043,0.09610974873185313
