model_id,year,y,x,fitted_log,residual_log
wind__ITA__annual_difference,2012,-0.015447937652899313,0.1894863767809527,0.22083939370986883,-0.23628733136276814
wind__ITA__annual_difference,2013,-0.7047469466748124,0.11179534541401814,-0.10224717327604466,-0.6024997733987678
wind__ITA__annual_difference,2014,0.16628659716429173,0.15312661276529838,0.06963337770587219,0.09665321945841954
wind__ITA__annual_difference,2015,0.16207517937263027,0.17119928049009303,0.1447905235018042,0.01728465587082606
wind__ITA__annual_difference,2016,-0.26016938228205433,0.11273516280027529,-0.09833884090386397,-0.16183054137819036
wind__ITA__annual_difference,2017,0.7021358489382168,0.09117496761724109,-0.1879992472940591,0.8901350962322758
wind__ITA__annual_difference,2018,-0.5818657336473745,0.08459740305843066,-0.21535276178657914,-0.36651297186079534
wind__ITA__annual_difference,2019,-0.12900547765880432,0.09676188513365425,-0.16476544580304647,0.03575996814424215
wind__ITA__annual_difference,2020,0.26035293423537187,0.16140499023660304,0.10405990687350641,0.15629302736186546
wind__ITA__annual_difference,2021,-0.3540120974538228,0.09674958984667814,-0.164816577085375,-0.18919552036844778
wind__ITA__annual_difference,2022,-0.008562631541589205,0.0876980312013842,-0.2024584638916857,0.1938958323500965
wind__ITA__annual_difference,2023,-0.09396206499448567,0.1160552002129549,-0.08453210580131038,-0.009429959193175297
wind__ITA__annual_difference,2024,-0.14271382064685767,0.10657425221761319,-0.12395965471773035,-0.01875416592912732
wind__POL__main_level,2010,7.091013760075743,5.180162236673185,7.115043473581768,-0.024029713506024564
wind__POL__main_level,2011,7.005554066149054,5.376417249698097,7.095288779239641,-0.08973471309058656
wind__POL__main_level,2012,7.140363320847246,5.56590362647905,7.076215404258745,0.06414791658850127
wind__POL__main_level,2013,7.160691153551617,5.677698971893068,7.064962275773073,0.09572887777854344
wind__POL__main_level,2014,7.089965822610869,5.830825584658366,7.0495488125234,0.04041701008746834
wind__POL__main_level,2015,7.047859271205577,6.002024865148459,7.032316185414688,0.015543085790889144
wind__POL__main_level,2016,7.0824500155868595,6.114760027948734,7.020968456516437,0.06148155907042252
wind__POL__main_level,2017,6.865726350616968,6.2059349955659755,7.011790940033313,-0.14606458941634504
wind__POL__main_level,2020,6.816644642370976,6.5486992739946635,6.977288873322289,-0.16064423095131275
wind__POL__main_level,2021,7.11937162027077,6.645448863841342,6.967550224888861,0.15182139538190853
wind__POL__main_level,2022,6.954402098236931,6.733146895042726,6.958722690885591,-0.004320592648660693
wind__POL__main_level,2023,6.849958147797454,6.849202095255681,6.947040772693111,-0.09708262489565644
wind__POL__main_level,2024,7.029049810340051,6.955776347473294,6.936313190529223,0.09273661981082792
wind__POL__annual_difference,2011,-0.08545969392668873,0.19625501302491166,0.0013593634500603576,-0.08681905737674908
wind__POL__annual_difference,2012,0.13480925469819205,0.1894863767809527,0.0010998342370278462,0.1337094204611642
wind__POL__annual_difference,2013,0.02032783270437033,0.11179534541401814,-0.0018790660175604145,0.022206898721930744
