technology,iso3,country,year,tic,logC,logQ,logK,logM,source_sheet,source_cell,model_id,fitted_log_cost,residual
wind,MAR,Morocco,2022,1998.630520549542,7.600217485275535,6.733146895042726,5.411217480302619,6.013632913023564,Fig 2.7,O23,wind_MAR_2024,7.32108442128234,0.2791330639931955
wind,MAR,Morocco,2023,1637.9556365859437,7.401204180154874,6.849202095255681,5.365907195612585,5.796167476800661,Fig 2.7,P23,wind_MAR_2024,7.2683735121827375,0.1328306679721365
wind,MAR,Morocco,2024,1215.7407407407409,7.103108833166668,6.955776347473294,5.308656183746518,5.674641698918291,Fig 2.7,Q23,wind_MAR_2024,7.219968738327774,-0.11685990516110589
wind,MEX,Mexico,2010,3341.0880308776045,8.114051790670997,5.180162236673185,4.822296444001899,5.619538317103914,Fig 2.7,C22,wind_MEX_2024,8.169016605492406,-0.05496481482140858
wind,MEX,Mexico,2011,3049.896202763099,8.022862837141409,5.376417249698097,4.998697446862276,5.708815243916515,Fig 2.7,D22,wind_MEX_2024,8.075916696067118,-0.05305385892570946
wind,MEX,Mexico,2012,2645.815352357348,7.8807345585503175,5.56590362647905,5.137394768957262,5.649587532329162,Fig 2.7,E22,wind_MEX_2024,7.986027708042171,-0.1052931494918532
wind,MEX,Mexico,2013,2964.005064940783,7.994296695233945,5.677698971893068,5.271086410766464,5.570291277483226,Fig 2.7,F22,wind_MEX_2024,7.932993972129944,0.06130272310400109
wind,MEX,Mexico,2014,3016.5842014860027,8.011880411128235,5.830825584658366,5.389968287621304,5.580565173034719,Fig 2.7,G22,wind_MEX_2024,7.860353413505129,0.1515269976231064
wind,MEX,Mexico,2015,2583.2227154219413,7.85679301292582,6.002024865148459,5.479418664657636,5.457078829862897,Fig 2.7,H22,wind_MEX_2024,7.779139500741134,0.07765351218468641
wind,MEX,Mexico,2016,2419.2764969037926,7.791223806229251,6.114760027948734,5.503732268414333,5.390606073342965,Fig 2.7,I22,wind_MEX_2024,7.725659932071883,0.06556387415736786
wind,MEX,Mexico,2017,2322.045285768722,7.750203664982697,6.2059349955659755,5.541918527785211,5.479810592208201,Fig 2.7,J22,wind_MEX_2024,7.682408138926904,0.06779552605579298
