technology,iso3,year,supplier,price_model_supplier,trade_import_value,preborder_expenditure_share,quantity_share,baseline_price_usd_kw,duty_rate,policy_rent_rate,landed_expenditure_share,beta,price_basis,domestic
pv,AUS,2012,ARE,OTHER,35363.0,2.62724023436759e-05,1.934878571294132e-05,1619.125501103525,0.0,0.0,2.6272402343675902e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,AUS,OTHER,0.0,0.25,0.1841170200181448,1619.125501103525,0.0,0.0,0.25000000000000006,0.0,assumed geometric mean of approved fitted prices; baseline only,True
pv,AUS,2012,AUT,OTHER,220207.0,0.00016359943734677032,0.00012048576352373016,1619.125501103525,0.0,0.0,0.00016359943734677035,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,BEL,OTHER,9816.0,7.292647722351685e-06,5.370802266726014e-06,1619.125501103525,0.0,0.0,7.292647722351687e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,BLR,OTHER,1060.0,7.875108583631608e-07,5.79976609895026e-07,1619.125501103525,0.0,0.0,7.875108583631609e-07,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,CAN,OTHER,183249.0,0.00013614205404168948,0.00010026427715722038,1619.125501103525,0.0,0.0,0.0001361420540416895,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,CHE,OTHER,9112556.0,0.006770034714568275,0.004985914468262809,1619.125501103525,0.0,0.0,0.006770034714568275,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,CHN,CHN,779547520.0,0.5791529590661069,0.6840703306612098,1009.5479849931621,0.0,0.0,0.5791529590661069,-0.5094069001785779,approved national/OEM proxy equation,False
pv,AUS,2012,CZE,OTHER,7048719.0,0.005236738443444075,0.003856690707285525,1619.125501103525,0.0,0.0,0.005236738443444076,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,DEU,DEU,72016886.0,0.053503848783492354,0.043405658915462816,1469.8503224522924,0.0,0.0,0.05350384878349236,-0.3874765003794204,approved national/OEM proxy equation,False
pv,AUS,2012,DNK,OTHER,84446.0,6.273786975975045e-05,4.6204438489806944e-05,1619.125501103525,0.0,0.0,6.273786975975046e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,DOM,OTHER,5894.0,4.37885754640799e-06,3.2248888101144177e-06,1619.125501103525,0.0,0.0,4.378857546407992e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,ESP,OTHER,624009.0,0.0004635979841663562,0.0003414251173245143,1619.125501103525,0.0,0.0,0.00046359798416635627,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,FIN,OTHER,7739.0,5.749572200823114e-06,4.234376399978873e-06,1619.125501103525,0.0,0.0,5.749572200823115e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,FJI,OTHER,8082.0,6.004398827633081e-06,4.422048076576981e-06,1619.125501103525,0.0,0.0,6.004398827633082e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,FRA,OTHER,695676.0,0.0005168418904741984,0.00038063755477861516,1619.125501103525,0.0,0.0,0.0005168418904741984,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,GBR,OTHER,1762267.0,0.0013092494319198794,0.0009642204154621486,1619.125501103525,0.0,0.0,0.0013092494319198796,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,HKG,OTHER,5586320.0,0.004150271375746502,0.0030565423918762088,1619.125501103525,0.0,0.0,0.004150271375746503,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,HUN,OTHER,11223.0,8.337956946612975e-06,6.140639144199883e-06,1619.125501103525,0.0,0.0,8.337956946612976e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,IDN,OTHER,97378.0,7.234550223178101e-05,5.3280153130526256e-05,1619.125501103525,0.0,0.0,7.234550223178102e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,IND,OTHER,1608855.0,0.0011952743226715688,0.000880281385577983,1619.125501103525,0.0,0.0,0.001195274322671569,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,IRL,OTHER,34716.0,2.5791723546165556e-05,1.8994781121807283e-05,1619.125501103525,0.0,0.0,2.579172354616556e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,ISR,OTHER,77564.0,5.762499265856623e-05,4.243896770745075e-05,1619.125501103525,0.0,0.0,5.7624992658566236e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,ITA,OTHER,430302.0,0.0003196863182786649,0.00023543876904815985,1619.125501103525,0.0,0.0,0.00031968631827866494,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,JPN,JPN,4215865.0,0.0031321127027294404,0.0009618779069985173,3882.8612570230916,0.0,0.0,0.003132112702729441,-0.5739927583121232,approved national/OEM proxy equation,False
pv,AUS,2012,KOR,KOR,21542539.0,0.01600470130114327,0.013997481210847918,1363.4277261838304,0.0,0.0,0.016004701301143273,-0.6035999212061967,approved national/OEM proxy equation,False
pv,AUS,2012,LVA,OTHER,1284.0,9.539282473002816e-07,7.02537704816239e-07,1619.125501103525,0.0,0.0,9.539282473002818e-07,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2012,MAC,OTHER,11708.0,8.698280311052722e-06,6.406005800614116e-06,1619.125501103525,0.0,0.0,8.698280311052724e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
