year,cost,Q_global,Q_domestic,H_domestic,H_global,technology,iso3,country,country_cn
2019,1455.78686550119,611.45324,203.22,586.2397680705001,3176.3915221410007,wind,CHN,China,中国
2020,1487.71515237706,720.13004,272.53999999999996,596.6157912634501,3084.752369926901,wind,CHN,China,中国
2021,1314.78343493892,794.46893,302.09,626.9542121371051,3041.277132934211,wind,CHN,China,中国
2022,1170.7756516937,867.46678,334.97999999999996,610.2587909233946,2991.14941964079,wind,CHN,China,中国
2023,1009.86151524945,972.92029,404.04999999999995,568.2329118310552,2880.034477676711,wind,CHN,China,中国
2024,855.966282656539,1084.72598,479.40999999999997,537.4096206479496,2791.03102990904,wind,CHN,China,中国
2011,2704.81912861014,221.11285,28.524,94.56,2122.1000000000004,wind,DEU,Germany,德国
2012,2457.32273133737,267.19999,30.711000000000002,94.104,2481.8900000000003,wind,DEU,Germany,德国
2013,2427.54559260857,299.29465,32.969,92.6936,2662.7010000000005,wind,DEU,Germany,德国
2014,2394.89119742189,349.29432,37.620000000000005,90.42424000000001,2952.4309000000003,wind,DEU,Germany,德国
2015,2350.28590162881,414.4271000000001,41.297000000000004,85.38181600000001,3063.1878100000004,wind,DEU,Germany,德国
2016,2305.47806017764,464.41934,45.283,79.84363440000001,3152.8690290000004,wind,DEU,Germany,德国
2017,2305.11909698796,509.19595,50.174,82.85927096000002,3262.5821261000006,wind,DEU,Germany,德国
2018,2267.18461163787,554.56437,52.328,76.57334386400002,3259.3239134900005,wind,DEU,Germany,德国
2019,2098.59984148091,611.45324,53.187000000000005,71.91600947760003,3176.3915221410007,wind,DEU,Germany,德国
2020,2089.11288708505,720.13004,54.414,69.72440852984003,3084.752369926901,wind,DEU,Germany,德国
2021,1944.24198514938,794.46893,55.904,65.75196767685603,3041.277132934211,wind,DEU,Germany,德国
2022,2011.7394262868,867.46678,57.986000000000004,59.17677090917042,2991.14941964079,wind,DEU,Germany,德国
2023,1791.82582469395,972.92029,60.965,57.25909381825338,2880.034477676711,wind,DEU,Germany,德国
2024,1669.52737203026,1084.72598,63.53,51.533184436428044,2791.03102990904,wind,DEU,Germany,德国
2011,2838.11100570576,221.11285,21.528999999999996,19.490000000000002,2122.1000000000004,wind,ESP,Spain,西班牙
2012,2489.79166650306,267.19999,22.788999999999998,32.541000000000004,2481.8900000000003,wind,ESP,Spain,西班牙
2013,2478.47443165532,299.29465,22.953,36.2869,2662.7010000000005,wind,ESP,Spain,西班牙
2014,2087.66076210103,349.29432,22.953,45.658210000000004,2952.4309000000003,wind,ESP,Spain,西班牙
