technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,R2,adj_R2,RMSE_log,AIC,AICc,BIC,VIF,correlation_logQ_logH,condition_standardized,a,b,g,p_HAC_b,p_HAC_g,covariance_HAC,rolling_RMSE_log,rolling_MAE_log,rolling_test_N
pv,DEU,Germany,德国,GD,global,domestic,2010,2024,15,3,12,0.9679669188379109,0.9626280719775626,0.10241554151895588,-17.793348161269193,-13.793348161269193,-14.961147356860353,11.39698293945903,-0.9551217096828812,6.60037707556495,15.278088621785088,-0.6462076952799851,-0.6082582237774403,2.5847063089438336e-06,0.11143492667246686,"[[8.401186330815403, -0.21800506430727729, -1.0250824026062078], [-0.21800506430726785, 0.006066412095631383, 0.02629059350669885], [-1.0250824026054366, 0.026290593506679314, 0.12532724600327308]]",0.18177545743053702,0.13253476963076277,7
pv,DEU,Germany,德国,DD,domestic,domestic,2010,2024,15,3,12,0.9229755451389919,0.9101381359954905,0.15881108952987955,-4.6330409827323145,-0.6330409827323145,-1.8008401783234742,5.706232253255528,-0.9081591351001028,4.5581573472297645,7.398253987577,-1.0559299066835575,0.5565278175610473,0.0001396188329134555,0.20415942695386952,"[[12.47169738322274, -0.6290594892391255, -1.4578286652320838], [-0.6290594892372736, 0.0370634675503545, 0.07090607567215801], [-1.4578286652315553, 0.07090607567233093, 0.17175059719635288]]",0.2825533391600752,0.23770585165170058,7
pv,DEU,Germany,德国,DG,domestic,global,2010,2024,15,3,12,0.9163264911960388,0.9023809063953786,0.16552381951102504,-3.391049103357215,0.608950896642785,-0.5588482989483747,13.322210135135354,0.9617366478250915,7.160260868449116,18.37403181485997,-1.0396633262032333,-0.659468035549132,0.020681152090138103,0.45693185414031834,"[[62.46989606390116, 2.9872524221041274, -6.775825395349102], [2.9872524220940377, 0.15243436928203735, -0.32713880172652754], [-6.775825395354289, -0.3271388017279797, 0.7359855536955973]]",0.29796456292038903,0.23878014202087336,7
pv,DEU,Germany,德国,GG,global,global,2010,2024,15,3,12,0.9736925572201606,0.9693079834235206,0.09281236212386536,-20.74710706946979,-16.74710706946979,-17.91490626506095,24.27058139257344,0.9791822381801047,9.75047728088076,-3.7745081863071306,-0.7882199250769646,1.4401900474644567,4.726181202867133e-06,0.019850355707733663,"[[27.641106892140215, 0.518699279916266, -2.8195438510615745], [0.5186992799207868, 0.010152763739418313, -0.053097193009410404], [-2.819543851067685, -0.0530971930090679, 0.2876945478968995]]",0.19203020951469152,0.17318157951864308,7
pv,ESP,Spain,西班牙,G0,global,none,2010,2024,15,2,13,0.9263408127444588,0.9206747214171095,0.1749059476160736,-3.7370507556491326,-1.555232573830951,-1.6129001523425028,1.0,,1.0,10.591786361629328,-0.5616114843142074,,2.3589571408203187e-08,,"[[0.07146191249511852, -0.012373453831935747], [-0.01237345383193576, 0.0022350684943733138]]",0.24101589461297562,0.1976739783437802,7
pv,ESP,Spain,西班牙,D0,domestic,none,2010,2024,15,2,13,0.5147454872038761,0.4774182169887897,0.448927187925445,24.54131891513674,26.723137096954922,26.665469518443366,1.0,,1.0000000000000007,8.582004641978564,-0.6177597684748513,,0.002859034613467017,,"[[0.22899817188280583, -0.07842749248287226], [-0.07842749248287223, 0.028424484956972487]]",1.5042828477363774,1.0170216498547968,7
pv,ESP,Spain,西班牙,GD,global,domestic,2010,2024,15,3,12,0.9563847003431455,0.9491154837336697,0.13458930384542966,-9.597663938636103,-5.597663938636103,-6.765463134227263,5.2473041289578335,-0.8996810267493408,4.351598348966654,22.245230992891535,-0.7700535291089943,-2.0907683463180398,2.60081389119228e-08,0.0017586498217407782,"[[8.610100849421194, -0.16853500995525517, -1.5314034579622016], [-0.1685350099556654, 0.003685633777197276, 0.029483928732002597], [-1.5314034579661406, 0.029483928732001036, 0.2730756674932533]]",0.18508870087963694,0.15001654564842518,7
pv,ESP,Spain,西班牙,DD,domestic,domestic,2010,2024,15,3,12,0.624860974363487,0.562337803424068,0.39471827981756274,22.680666470379137,26.680666470379137,25.51286727478798,6.330256439398332,-0.9176211182211294,4.8247349008925955,-14.719437868358028,0.04190243572489627,4.396373567576376,0.9168809838952021,0.15071701844895172,"[[225.32097473050612, -5.454892962106506, -42.98042512569381], [-5.4548929621200415, 0.15456225619758956, 1.0315996511653402], [-42.980425125702624, 1.0315996511630443, 8.202909343913802]]",0.8126532245306665,0.7146763809733727,7
pv,ESP,Spain,西班牙,DG,domestic,global,2010,2024,15,3,12,0.9386213623060279,0.9283915893570325,0.15966132862980623,-4.472856099241152,-0.47285609924115235,-1.640655294832312,7.660442181363743,0.932447978563813,5.348533632367164,63.102972668499234,0.8289926885261714,-5.290434624651862,0.0006984977022286321,6.368722530657458e-07,"[[32.40317479758531, 0.9951730438006567, -3.176529109590227], [0.9951730438028061, 0.03359717320634156, -0.09817345035693203], [-3.176529109596977, -0.0981734503569004, 0.31153954810255957]]",0.2600946752255404,0.2276841535453282,7
pv,ESP,Spain,西班牙,GG,global,global,2010,2024,15,3,12,0.9617719332268986,0.955400588764715,0.12600340591992945,-11.575234242423079,-7.575234242423079,-8.743033438014239,24.27058139257344,0.9791822381801047,9.75047728088076,-15.902695695485207,-1.0914538011024235,2.7225609817739134,8.559685319328572e-07,0.0019731154729755065,"[[46.77525480194891, 0.7916578190439405, -4.728469963266737], [0.7916578190524304, 0.014016788647626763, -0.08036063361189401], [-4.728469963243618, -0.08036063361056091, 0.47818567771199166]]",0.165435100755082,0.13688064136974468,7
