technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,year,actual_log,fitted_log,residual_log
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2023,7.5600999859061995,7.573548027370318,-0.01344804146411871
pv,JPN,Japan,日本,GD,global,domestic,2011,2024,14,3,11,2024,7.555617752448869,7.490016151814239,0.06560160063463005
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2011,8.801511086644002,8.679003449669697,0.122507636974305
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2012,8.448142693387702,8.585110797416627,-0.13696810402892545
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2013,8.290749356920925,8.330421021218742,-0.03967166429781699
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2014,8.203804626073271,8.135384464479092,0.06842016159417952
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2015,7.880312348703021,7.993780146814114,-0.11346779811109275
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2016,7.9731146386699665,7.913104167237265,0.060010471432701884
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2017,7.875613505105813,7.844955669112864,0.030657835992948357
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2018,7.824942071119181,7.790074603455333,0.03486746766384741
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2019,7.81002171234527,7.7383852677936416,0.07163644455162821
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2020,7.676049330697207,7.681941933316042,-0.005892602618835063
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2021,7.56181516648059,7.639808146836209,-0.07799298035561897
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2022,7.612204504790829,7.6066401028120465,0.005564401978782385
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2023,7.5600999859061995,7.577693210356146,-0.017593224449946376
pv,JPN,Japan,日本,DD,domestic,domestic,2011,2024,14,3,11,2024,7.555617752448869,7.5576957987749385,-0.0020780463260692272
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2011,8.801511086644002,8.684806145501998,0.1167049411420038
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2012,8.448142693387702,8.570028986632668,-0.12188629324496603
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2013,8.290749356920925,8.32480161847558,-0.03405226155465613
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2014,8.203804626073271,8.137857036631246,0.06594758944202539
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2015,7.880312348703021,8.005320414731445,-0.12500806602842385
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2016,7.9731146386699665,7.924153484449557,0.04896115422040914
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2017,7.875613505105813,7.8546113156073964,0.021002189498416257
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2018,7.824942071119181,7.792671663012,0.032270408107180515
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2019,7.81002171234527,7.745105837477514,0.06491587486775607
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2020,7.676049330697207,7.688294057226492,-0.012244726529284655
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2021,7.56181516648059,7.643071867137286,-0.08125670065669599
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2022,7.612204504790829,7.601053736259403,0.011150768531425825
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2023,7.5600999859061995,7.55994538839815,0.00015459750804946992
pv,JPN,Japan,日本,DG,domestic,global,2011,2024,14,3,11,2024,7.555617752448869,7.542277227752619,0.013340524696250355
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2011,8.801511086644002,8.671524515418543,0.12998657122545865
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2012,8.448142693387702,8.514333447362187,-0.06619075397448526
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2013,8.290749356920925,8.33165036869494,-0.040901011774014506
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2014,8.203804626073271,8.194353925586652,0.009450700486619112
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2015,7.880312348703021,8.053628651193678,-0.17331630249065721
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2016,7.9731146386699665,7.927945164052135,0.04516947461783172
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2017,7.875613505105813,7.824867181599646,0.050746323506166924
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2018,7.824942071119181,7.80072483396572,0.02421723715346058
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2019,7.81002171234527,7.711975565546449,0.09804614679882118
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2020,7.676049330697207,7.660524925466989,0.015524405230218363
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2021,7.56181516648059,7.639504772867814,-0.07768960638722344
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2022,7.612204504790829,7.656581547382963,-0.04437704259213415
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2023,7.5600999859061995,7.6204496046897825,-0.060349618783583026
pv,JPN,Japan,日本,GG,global,global,2011,2024,14,3,11,2024,7.555617752448869,7.465934275467049,0.08968347698182022
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2010,8.85546159676247,8.762285236007829,0.09317636075464186
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2011,8.85546159676247,8.476638498405942,0.37882309835652883
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2012,8.196474679232432,8.298601351136242,-0.1021266719038092
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2013,8.061822464562105,8.145248870084941,-0.08342640552283598
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2014,7.876049360122014,8.017712339124477,-0.14166297900246327
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2015,7.820317326646504,7.895120545653274,-0.07480321900677023
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2016,7.807080516745456,7.752899230048573,0.054181286696882935
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2017,7.540672231379958,7.609961505264968,-0.06928927388501016
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2018,7.364637641876182,7.495566010495862,-0.1309283686196805
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2019,7.307260732828015,7.396011773139447,-0.08875104031143266
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2020,7.018047086968539,7.292872663404067,-0.27482557643552763
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2021,6.973743973959298,7.198907223542281,-0.22516324958298295
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2022,7.258576979968643,7.097257847269107,0.16131913269953557
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2023,7.118058785649925,6.948272917650415,0.16978586799950968
pv,KOR,South Korea,韩国,G0,global,none,2010,2024,15,2,13,2024,7.140629553513333,6.806938515749919,0.3336910377634137
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2010,8.85546159676247,8.621766705506603,0.23369489125586718
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2011,8.85546159676247,8.566405782752488,0.28905581400998237
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2012,8.196474679232432,8.408506245873898,-0.21203156664146583
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2013,8.061822464562105,8.223399769214918,-0.16157730465281261
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2014,7.876049360122014,8.019431863103346,-0.14338250298133204
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2015,7.820317326646504,7.858809850842698,-0.038492524196193756
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2016,7.807080516745456,7.756571800787365,0.05050871595809081
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2017,7.540672231379958,7.637369581723057,-0.09669735034309923
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2018,7.364637641876182,7.494734224771574,-0.1300965828953924
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2019,7.307260732828015,7.338489738778831,-0.031229005950816457
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2020,7.018047086968539,7.198127188613141,-0.18008010164460142
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2021,6.973743973959298,7.109874804695723,-0.13613083073642507
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2022,7.258576979968643,7.047579690243547,0.21099728972509624
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2023,7.118058785649925,6.985289045156281,0.13276974049364387
pv,KOR,South Korea,韩国,D0,domestic,none,2010,2024,15,2,13,2024,7.140629553513333,6.927938234913901,0.2126913185994317
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,2010,8.85546159676247,9.0251478259845,-0.16968622922203025
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,2011,8.85546159676247,8.438986923830017,0.41647467293245377
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,2012,8.196474679232432,8.200838071271308,-0.004363392038875702
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,2013,8.061822464562105,8.091445665035666,-0.029623200473560374
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,2014,7.876049360122014,7.986904791791752,-0.1108554316697381
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,2015,7.820317326646504,7.882358447046133,-0.06204112039962961
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,2016,7.807080516745456,7.732864850732353,0.07421566601310303
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,2017,7.540672231379958,7.634222993394448,-0.0935507620144902
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,2018,7.364637641876182,7.4501306379477334,-0.08549299607155181
pv,KOR,South Korea,韩国,GD,global,domestic,2010,2024,15,3,12,2019,7.307260732828015,7.2903176311400095,0.016943101688005058
