technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,term,coefficient,se_OLS,p_OLS,se_HAC,t_HAC,p_HAC,CI_HAC_lower,CI_HAC_upper,q_BH_within_technology_spec,q_BH_all_explored_slopes_technology
pv,KOR,South Korea,韩国,DG,domestic,global,2010,2024,15,3,12,g,1.429987508593742,0.7260467633445017,0.0724143138889314,0.5451485234712418,2.6231154392353004,0.022256624870131355,0.2422109115825315,2.6177641056049525,0.03497469622449213,0.03022504611993147
pv,KOR,South Korea,韩国,GG,global,global,2010,2024,15,3,12,a,-15.289167857258533,9.051283067759444,0.11697798603612501,8.072729811508939,-1.8939278551675833,0.08258704401454928,-32.878135140980554,2.299799426463487,,
pv,KOR,South Korea,韩国,GG,global,global,2010,2024,15,3,12,b,-1.025930599835665,0.18480166104958592,0.00012546832110375188,0.1668395109968661,-6.1492064661765635,4.952238074599582e-05,-1.3894426668904076,-0.6624185327809222,0.00014768416836484982,0.00012075739995826145
pv,KOR,South Korea,韩国,GG,global,global,2010,2024,15,3,12,g,2.66490503352842,0.9298231883157314,0.014193932758500057,0.8292097937879699,3.2137886617989464,0.00743972523569873,0.8582120963406343,4.471597970716206,0.011690996798955147,0.011526334872209299
pv,USA,United States,美国,G0,global,none,2010,2024,15,2,13,a,10.813207058976845,0.17512802489817691,1.9521005474197234e-17,0.24958139434011933,43.32537322169556,1.911709091735222e-15,10.274019237408615,11.352394880545075,,
pv,USA,United States,美国,G0,global,none,2010,2024,15,2,13,b,-0.5264940718427473,0.029446826103861103,1.5545416146443388e-10,0.040886230869959767,-12.877050797792588,8.92732724332227e-09,-0.6148234034950371,-0.4381647401904576,1.8717612866848533e-08,8.92732724332227e-08
pv,USA,United States,美国,D0,domestic,none,2010,2024,15,2,13,a,9.40870609973541,0.10475163434270403,1.5108316926239032e-19,0.15868851051889546,59.290405266076846,3.3016691966483425e-17,9.065880415469904,9.751531784000916,,
pv,USA,United States,美国,D0,domestic,none,2010,2024,15,2,13,b,-0.48256345447955584,0.028558907808234103,3.150327244940091e-10,0.03957506387999822,-12.193624145315658,1.724302409146504e-08,-0.5680601820633464,-0.39706672689576533,3.161221083435258e-08,1.3548090357579676e-07
pv,USA,United States,美国,GD,global,domestic,2010,2024,15,3,12,a,8.200103582638349,5.000280803320983,0.1269522454549683,6.221268180954472,1.3180758880869017,0.2120851220595451,-5.354875346802048,21.755082512078744,,
pv,USA,United States,美国,GD,global,domestic,2010,2024,15,3,12,b,-0.5138334075046227,0.03878938057247059,1.595814985872547e-08,0.055935380253111316,-9.186196735938728,8.889191498462893e-07,-0.6357061316322035,-0.391960683377042,3.911244259323673e-06,3.3717622925204082e-06
pv,USA,United States,美国,GD,global,domestic,2010,2024,15,3,12,g,0.2957363251730918,0.5655358520868295,0.6105418917117134,0.6967133919792353,0.42447343280277555,0.6787314308887749,-1.2222717518695838,1.8137444022157674,0.6787314308887749,0.7043439377147663
pv,USA,United States,美国,DD,domestic,domestic,2010,2024,15,3,12,a,2.0001905770974275,4.545004544474293,0.6676972707012636,5.448795062266155,0.3670886047722903,0.7199447607638758,-9.871714010774753,13.872095164969608,,
pv,USA,United States,美国,DD,domestic,domestic,2010,2024,15,3,12,b,-0.4517583285674057,0.032868305224108274,1.0514677752240343e-08,0.0449683351752307,-10.046143065048172,3.4074613075863873e-07,-0.5497359141758031,-0.3537807429590083,1.4992829753380104e-06,1.5617530993104277e-06
pv,USA,United States,美国,DD,domestic,domestic,2010,2024,15,3,12,g,0.8504521747740608,0.5216157549089391,0.1289623850526341,0.6221957632254014,1.366856261388539,0.1967319690409737,-0.5051959367036658,2.2061002862517873,0.24952818849917383,0.2238711985132548
pv,USA,United States,美国,DG,domestic,global,2010,2024,15,3,12,a,16.118874630275883,5.944188298461815,0.018895741355839848,6.003684972006191,2.684830184367519,0.0198587915401512,3.0379687880113373,29.19978047254043,,
pv,USA,United States,美国,DG,domestic,global,2010,2024,15,3,12,b,-0.36747651248218505,0.10577937297469053,0.004597014179671948,0.1252653938450682,-2.9335836594797318,0.012520343221439571,-0.6404063597046605,-0.0945466652597095,0.025040686442879143,0.018611321004842606
pv,USA,United States,美国,DG,domestic,global,2010,2024,15,3,12,g,-0.6540764332938904,0.5793240815295396,0.2809489452693999,0.5908223992859292,-1.1070609951220711,0.2899658814492527,-1.9413678569105954,0.6332149903228146,0.318962469594178,0.3221843127213919
pv,USA,United States,美国,GG,global,global,2010,2024,15,3,12,a,10.716565714637753,7.395385533033104,0.17293777921324158,7.743013713268836,1.3840303157765665,0.19154970659001586,-6.154011904092169,27.587143333367674,,
pv,USA,United States,美国,GG,global,global,2010,2024,15,3,12,b,-0.528426726109088,0.1509929056881107,0.004384459831528876,0.18143396321754168,-2.912501698899106,0.013020425347088273,-0.9237373729041485,-0.13311607931402758,0.017903084852246374,0.019096623842396136
pv,USA,United States,美国,GG,global,global,2010,2024,15,3,12,g,0.009930820793426776,0.7597156009452989,0.9897853533514767,0.8081463343726664,0.012288394280889361,0.9903974640212417,-1.7508687807832009,1.7707304223700544,0.9903974640212417,0.9903974640212417
wind,AUS,Australia,澳大利亚,G0,global,none,2011,2024,14,2,12,a,12.124563593369706,0.3830383366562662,6.230237275549024e-13,0.3417323724732453,35.47970449980988,1.6057645031609546e-13,11.379992715913682,12.86913447082573,,
wind,AUS,Australia,澳大利亚,G0,global,none,2011,2024,14,2,12,b,-0.707018681207963,0.06105785261192319,7.18864792780194e-08,0.05473990159534925,-12.915965513318202,2.1220112392277773e-08,-0.8262866810984228,-0.5877506813175031,2.970815734918888e-07,3.868683928443958e-07
wind,AUS,Australia,澳大利亚,D0,domestic,none,2011,2024,14,2,12,a,8.701406018060469,0.0931516704058505,1.514567726489735e-18,0.07741919910930632,112.39338714645137,1.6489706818423738e-19,8.532724073778846,8.870087962342092,,
