scenario,year,region,good,quantity,consumer_price,expenditure_2024USD_bn,real_consumption_2024USD_bn,quantity_S0,consumer_price_S0,expenditure_2024USD_bn_S0,real_consumption_2024USD_bn_S0,quantity_gap,quantity_pct,consumer_price_gap,consumer_price_pct,expenditure_2024USD_bn_gap,expenditure_2024USD_bn_pct,real_consumption_2024USD_bn_gap,real_consumption_2024USD_bn_pct
S1_NO_CN,2030,China,Petro,132.15679006006167,1.103057788871545,186.55559948541384,169.12586481656956,132.68390909113543,1.0975807749071802,186.36969361654468,169.80043826793067,-0.5271190310737666,-0.39727426986772674,0.00547701396436473,0.49900782608258676,0.18590586886915617,0.09975112651719929,-0.6745734513611126,-0.3972742698677214
S2_CAPACITY,2030,China,Petro,116.91044900426272,1.271533184135009,190.2398824891202,149.61456603896997,132.68390909113543,1.0975807749071802,186.36969361654468,169.80043826793067,-15.773460086872717,-11.887997719481222,0.17395240922782884,15.848711384593955,3.870188872575511,2.076619217145046,-20.185872228960704,-11.887997719481215
S1_NO_CN,2030,China,Power,149.9372244953691,1.5088937912310654,289.5267401978952,191.88013228962487,150.14505154547845,1.5063635944361295,289.44188396711235,192.14609614218097,-0.20782705010935842,-0.1384175155758685,0.002530196794935824,0.16796720289054393,0.08485623078286153,0.02931719128545448,-0.2659638525560979,-0.1384175155759056
S2_CAPACITY,2030,China,Power,132.2507331113982,1.778828369348181,301.0597364105794,169.24608448783664,150.14505154547845,1.5063635944361295,289.44188396711235,192.14609614218097,-17.894318434080247,-11.918020773838235,0.27246477491205146,18.087583629770474,11.61785244346703,4.013880881450834,-22.900011654344326,-11.91802077383824
S1_NO_CN,2030,China,WatWaste,23.732569522266974,1.0362398307115015,31.47209004425998,30.371434357299304,23.73934387181393,1.0360657695980628,31.47578560858596,30.380103739364557,-0.006774349546954994,-0.02853638071690043,0.0001740611134386505,0.01680019922926097,-0.003695564325980172,-0.011740975656449054,-0.008669382065253473,-0.02853638071689746
S2_CAPACITY,2030,China,WatWaste,23.15635975032446,1.0570027976777772,31.323260810134197,29.634037707173952,23.73934387181393,1.0360657695980628,31.47578560858596,30.380103739364557,-0.5829841214894707,-2.4557718386718186,0.020937028079714315,2.020820366243423,-0.15252479845176126,-0.484578209892736,-0.7460660321906047,-2.4557718386718377
S1_NO_CN,2030,China,OthServ,5988.624790422432,1.0301048537869446,7894.580892090693,7663.861427752149,5990.240160377774,1.0301328384497432,7896.924902535265,7665.928675563717,-1.6153699553424303,-0.026966697696483626,-2.798466279863021e-05,-0.0027166071941502803,-2.3440104445717225,-0.02968257231139669,-2.0672478115675403,-0.02696669769648652
S2_CAPACITY,2030,China,OthServ,5861.68446585278,1.030513899059889,7730.308609539338,7501.41126746634,5990.240160377774,1.0301328384497432,7896.924902535265,7665.928675563717,-128.55569452499458,-2.1460858176492077,0.0003810606101457559,0.0369914049841589,-166.61629299592641,-2.109888279961168,-164.51740809737657,-2.1460858176492064
S1_NO_CN,2030,China,Transport,655.6046422248382,0.9181771534354616,770.3516978504524,839.0011503162118,656.1339889464157,0.9177004974376916,770.5734555294403,839.678574604747,-0.5293467215774399,-0.08067661948551638,0.00047665599777002576,0.0519402570992274,-0.22175767898784216,-0.028778266029872317,-0.6774242885352351,-0.08067661948551108
S2_CAPACITY,2030,China,Transport,629.3051497909364,0.9354324390483296,753.345596183552,805.3447315179922,656.1339889464157,0.9177004974376916,770.5734555294403,839.678574604747,-26.828839155479272,-4.088926897166166,0.01773194161063807,1.9322144490656117,-17.227859345888305,-2.235719284419356,-34.33384308675488,-4.088926897166155
S1_NO_CN,2030,Japan,Rice,0.0331588482754353,1.435228953928572,0.0609033478590686,0.0424345869645491,0.033176947176736,1.4388458484794282,0.0610901555794467,0.0424577487883503,-1.8098901300701853e-05,-0.054552642243687145,-0.00361689455085612,-0.25137470804662315,-0.00018680772037810156,-0.30579021874508294,-2.3161823801201575e-05,-0.054552642243615126
S2_CAPACITY,2030,Japan,Rice,0.0331933590143121,1.41731879277441,0.0602059329573725,0.0424787516152002,0.033176947176736,1.4388458484794282,0.0610901555794467,0.0424577487883503,1.6411837576099653e-05,0.049467594135990285,-0.021527055705018228,-1.4961335662029405,-0.0008842226220742017,-1.4474060733472602,2.100282684990018e-05,0.049467594135991985
S1_NO_CN,2030,Japan,Crops nec,23.67500077958071,1.5011917187418862,45.48274878678116,30.297762975426227,23.690705083345584,1.503713899307702,45.5893859069024,30.31786034638693,-0.015704303764874084,-0.066288882959056,-0.002522180565815768,-0.16773008262921293,-0.10663712012124194,-0.2339077791901046,-0.020097370960701966,-0.0662888829590411
S2_CAPACITY,2030,Japan,Crops nec,23.721444008080077,1.4736269876973622,44.73518429397004,30.357198070782207,23.690705083345584,1.503713899307702,45.5893859069024,30.31786034638693,0.030738924734492912,0.12975099148105212,-0.030086911610339717,-2.0008401614290787,-0.8542016129323571,-1.8736852798954413,0.03933772439527772,0.1297509914810519
S1_NO_CN,2030,Japan,"Bovine cattle, sheep and goats, horses",1.3233976127917,1.3845699760356858,2.344907947291482,1.6936002025941492,1.3260605237993928,1.3868565763457317,2.35350669750012,1.6970080269536063,-0.002662911007692781,-0.2008136853409285,-0.0022866003100459054,-0.16487648031139127,-0.008598750208637984,-0.3653590711159446,-0.003407824359457079,-0.2008136853409382
S2_CAPACITY,2030,Japan,"Bovine cattle, sheep and goats, horses",1.3260540450217777,1.370285381026387,2.325373885350828,1.6969997358255464,1.3260605237993928,1.3868565763457317,2.35350669750012,1.6970080269536063,-6.478777615059883e-06,-0.0004885732965262448,-0.01657119531934459,-1.1948744810374343,-0.028132812149292086,-1.1953572164963278,-8.29112805988963e-06,-0.0004885732965431811
S1_NO_CN,2030,Japan,Animal products nec,9.480130864579564,1.422209744399388,17.254346853057186,12.13206910337309,9.500031260160338,1.4242369209841252,17.315212113800957,12.157536365146075,-0.019900395580773278,-0.2094771589250266,-0.002027176584737278,-0.1423342250765786,-0.06086526074377119,-0.3515132263107479,-0.025467261772986305,-0.20947715892503777
S2_CAPACITY,2030,Japan,Animal products nec,9.502144143299793,1.4065401175894383,17.103865774605985,12.160240298733214,9.500031260160338,1.4242369209841252,17.315212113800957,12.157536365146075,0.002112883139455235,0.022240801967840836,-0.017696803394686933,-1.2425463161324817,-0.21134633919497148,-1.220581866430152,0.002703933587138607,0.022240801967826306
S1_NO_CN,2030,Japan,Forestry,1.592229629897557,1.4245388682099185,2.902689263946709,2.037634381726944,1.5941443172469378,1.4276580536501755,2.912543206876576,2.040084677023614,-0.001914687349380939,-0.12010752907789266,-0.003119185440257022,-0.21848267043232242,-0.009853942929867188,-0.33832778537334035,-0.0024502952966698466,-0.12010752907789643
S2_CAPACITY,2030,Japan,Forestry,1.5952954843887932,1.4074624126455473,2.873415851047397,2.0415578676384056,1.5941443172469378,1.4276580536501755,2.912543206876576,2.040084677023614,0.0011511671418553693,0.0722122288051948,-0.02019564100462823,-1.4145993119986169,-0.039127355829179145,-1.3434085968853142,0.0014731906147917861,0.07221222880518376
S1_NO_CN,2030,Japan,Coal,0.0043606223895087,1.6878756463979705,0.0094191013317,0.0055804488671647,0.0043692100165528,1.664274377014013,0.0093056858963315,0.0055914387693688,-8.587627044099808e-06,-0.1965487356196083,0.023601269383957568,1.4181116833813303,0.00011341543536850032,1.2187756671779681,-1.0989902204099934e-05,-0.1965487356189103
