year,scenario,region,CO2_Mt,CO2_Gt
2050,S0_BASELINE,Rest of World,99.62651813840532,0.09962651813840531
2050,S0_BASELINE,Southeast Asia,2560.6216670633976,2.5606216670633977
2050,S0_BASELINE,"Central, Western and South Asia",6504.469649411058,6.504469649411058
2050,S0_BASELINE,India,2943.273511674241,2.9432735116742412
2050,S0_BASELINE,Canada,1149.3563033499058,1.149356303349906
2050,S0_BASELINE,United States,8276.681829526455,8.276681829526455
2050,S0_BASELINE,Rest of America,2891.3702529075013,2.8913702529075014
2050,S0_BASELINE,Brazil,1495.6182056848656,1.4956182056848657
2050,S0_BASELINE,"EU, UK and EFTA",3968.491779747131,3.968491779747131
2050,S0_BASELINE,Eastern Europe,783.2879553705048,0.7832879553705049
2050,S0_BASELINE,Russia,2829.1205298430486,2.8291205298430486
2050,S0_BASELINE,North Africa,1197.214229442548,1.197214229442548
2050,S0_BASELINE,Sub Saharan,1297.912104618088,1.2979121046180881
2050,S0_BASELINE,South Africa,759.9299372268363,0.7599299372268363
2025,S1_NO_CN,Australia_Oceania,424.48409938108495,0.42448409938108494
2025,S1_NO_CN,China,11574.26898818686,11.574268988186859
2025,S1_NO_CN,Japan,1315.3038434230668,1.3153038434230668
2025,S1_NO_CN,South Korea,613.9130436006433,0.6139130436006432
2025,S1_NO_CN,Rest of World,56.81426581952643,0.056814265819526436
2025,S1_NO_CN,Southeast Asia,1926.3129142220828,1.9263129142220827
2025,S1_NO_CN,"Central, Western and South Asia",3784.8646274431294,3.7848646274431292
2025,S1_NO_CN,India,2896.3107846110743,2.896310784611074
2025,S1_NO_CN,Canada,717.4647350271644,0.7174647350271643
2025,S1_NO_CN,United States,5472.736494372073,5.472736494372073
2025,S1_NO_CN,Rest of America,1543.214266461233,1.543214266461233
2025,S1_NO_CN,Brazil,651.7053184159076,0.6517053184159076
2025,S1_NO_CN,"EU, UK and EFTA",3214.899417051035,3.214899417051035
2025,S1_NO_CN,Eastern Europe,427.13309384270815,0.42713309384270814
2025,S1_NO_CN,Russia,2051.70612903988,2.05170612903988
2025,S1_NO_CN,North Africa,691.1195047540846,0.6911195047540846
2025,S1_NO_CN,Sub Saharan,467.773558861116,0.467773558861116
2025,S1_NO_CN,South Africa,450.5774269316309,0.4505774269316309
2030,S1_NO_CN,Australia_Oceania,464.6657011091911,0.4646657011091911
2030,S1_NO_CN,China,12212.864169870332,12.212864169870333
2030,S1_NO_CN,Japan,1404.326479982623,1.404326479982623
2030,S1_NO_CN,South Korea,675.1465072051402,0.6751465072051402
2030,S1_NO_CN,Rest of World,63.1511891639527,0.0631511891639527
2030,S1_NO_CN,Southeast Asia,2145.687005743508,2.145687005743508
2030,S1_NO_CN,"Central, Western and South Asia",4258.746655694135,4.258746655694136
2030,S1_NO_CN,India,3444.2740819454134,3.444274081945413
2030,S1_NO_CN,Canada,785.1413631672117,0.7851413631672117
2030,S1_NO_CN,United States,5939.634253288724,5.939634253288724
2030,S1_NO_CN,Rest of America,1674.5619904819414,1.6745619904819413
2030,S1_NO_CN,Brazil,761.9898089368925,0.7619898089368925
2030,S1_NO_CN,"EU, UK and EFTA",2630.899626779796,2.630899626779796
2030,S1_NO_CN,Eastern Europe,473.2097712989294,0.47320977129892944
2030,S1_NO_CN,Russia,2186.167440686945,2.1861674406869454
2030,S1_NO_CN,North Africa,826.6415878817706,0.8266415878817707
2030,S1_NO_CN,Sub Saharan,526.5261091728734,0.5265261091728733
2030,S1_NO_CN,South Africa,464.669374163016,0.464669374163016
2035,S1_NO_CN,Australia_Oceania,492.261632932029,0.492261632932029
2035,S1_NO_CN,China,11698.61297569263,11.69861297569263
2035,S1_NO_CN,Japan,1526.8154767335309,1.526815476733531
2035,S1_NO_CN,South Korea,711.5809747081956,0.7115809747081956
2035,S1_NO_CN,Rest of World,72.7036940171723,0.07270369401717229
2035,S1_NO_CN,Southeast Asia,2326.2589819891896,2.3262589819891897
2035,S1_NO_CN,"Central, Western and South Asia",4793.90312923825,4.79390312923825
2035,S1_NO_CN,India,3807.962098403866,3.8079620984038662
2035,S1_NO_CN,Canada,840.5046402379212,0.8405046402379212
2035,S1_NO_CN,United States,6283.556934698599,6.283556934698599
2035,S1_NO_CN,Rest of America,1907.894777902276,1.9078947779022761
2035,S1_NO_CN,Brazil,902.9956443130004,0.9029956443130004
2035,S1_NO_CN,"EU, UK and EFTA",2785.114101273173,2.785114101273173
2035,S1_NO_CN,Eastern Europe,534.8346007340058,0.5348346007340058
2035,S1_NO_CN,Russia,2347.9897350732945,2.3479897350732943
2035,S1_NO_CN,North Africa,947.194043506068,0.9471940435060681
2035,S1_NO_CN,Sub Saharan,671.9588337416872,0.6719588337416872
2035,S1_NO_CN,South Africa,521.6504943982953,0.5216504943982954
2040,S1_NO_CN,Australia_Oceania,571.6500892266808,0.5716500892266808
2040,S1_NO_CN,China,11933.534935004142,11.933534935004142
2040,S1_NO_CN,Japan,1681.3215716112254,1.6813215716112253
2040,S1_NO_CN,South Korea,789.2589494991299,0.7892589494991299
2040,S1_NO_CN,Rest of World,80.52655901280895,0.08052655901280895
2040,S1_NO_CN,Southeast Asia,2505.224791006521,2.5052247910065213
