group,year,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
GLOBAL,2030,S2_CAPACITY,real_household_consumption,79633.48029618821,78031.26650556797,-1602.2137906202406,-2.011985140748562
GLOBAL,2035,S1_NO_CN,real_household_consumption,89670.30667489486,89514.70133879525,-155.60533609961567,-0.1735305051021764
GLOBAL,2035,S2_CAPACITY,real_household_consumption,89670.30667489486,87924.28188957158,-1746.0247853232868,-1.9471604927744985
GLOBAL,2040,S1_NO_CN,real_household_consumption,99821.58330299443,99666.09155633692,-155.49174665751343,-0.15576966575008133
GLOBAL,2040,S2_CAPACITY,real_household_consumption,99821.58330299443,97921.45184926178,-1900.1314537326543,-1.90352766491899
GLOBAL,2045,S1_NO_CN,real_household_consumption,109398.14613992476,109245.73002802371,-152.41611190105323,-0.13932239007606828
GLOBAL,2045,S2_CAPACITY,real_household_consumption,109398.14613992476,107376.08710230823,-2022.0590376165346,-1.8483485405961426
GLOBAL,2050,S1_NO_CN,real_household_consumption,118462.86828537211,118315.25043083791,-147.61785453419725,-0.12461107574956905
GLOBAL,2050,S2_CAPACITY,real_household_consumption,118462.86828537211,116331.4392248344,-2131.4290605377173,-1.799238099995345
ROW_EX_CHINA,2025,S1_NO_CN,real_household_consumption,59158.273868731165,59086.47337481947,-71.8004939116945,-0.12137016382698336
ROW_EX_CHINA,2025,S2_CAPACITY,real_household_consumption,59158.273868731165,58028.56218620068,-1129.7116825304838,-1.9096427408231174
ROW_EX_CHINA,2030,S1_NO_CN,real_household_consumption,66032.44946986619,65889.24683970724,-143.20263015895034,-0.21686705749769386
ROW_EX_CHINA,2030,S2_CAPACITY,real_household_consumption,66032.44946986619,64738.75348955625,-1293.695980309938,-1.9591821758790189
ROW_EX_CHINA,2035,S1_NO_CN,real_household_consumption,74008.19407242996,73857.63949700227,-150.55457542769727,-0.20342960305226918
ROW_EX_CHINA,2035,S2_CAPACITY,real_household_consumption,74008.19407242996,72570.98459317039,-1437.2094792595744,-1.9419599373726286
ROW_EX_CHINA,2040,S1_NO_CN,real_household_consumption,82256.81008474228,82106.4847099422,-150.3253748000716,-0.18275128180293398
ROW_EX_CHINA,2040,S2_CAPACITY,real_household_consumption,82256.81008474228,80672.28136688877,-1584.5287178535073,-1.9263191901328298
ROW_EX_CHINA,2045,S1_NO_CN,real_household_consumption,90482.49637126202,90335.11848394324,-147.3778873187839,-0.1628799969378302
ROW_EX_CHINA,2045,S2_CAPACITY,real_household_consumption,90482.49637126202,88773.34003665128,-1709.1563346107432,-1.8889358750645446
ROW_EX_CHINA,2050,S1_NO_CN,real_household_consumption,98508.06783222247,98365.5222505324,-142.54558169006486,-0.14470447429021394
ROW_EX_CHINA,2050,S2_CAPACITY,real_household_consumption,98508.06783222247,96686.63656266457,-1821.4312695578992,-1.8490173542538006
CHINA,2025,S1_NO_CN,real_household_consumption,10783.617304236948,10781.198793941572,-2.418510295376109,-0.02242763469013187
CHINA,2025,S2_CAPACITY,real_household_consumption,10783.617304236948,10501.41395768932,-282.2033465476288,-2.6169636642868386
CHINA,2030,S1_NO_CN,real_household_consumption,13601.030826322029,13596.232628168726,-4.798198153303019,-0.03527819482635892
CHINA,2030,S2_CAPACITY,real_household_consumption,13601.030826322029,13292.513016011724,-308.5178103103044,-2.2683413797815306
CHINA,2035,S1_NO_CN,real_household_consumption,15662.112602464904,15657.061841792982,-5.050760671922035,-0.03224827199318658
CHINA,2035,S2_CAPACITY,real_household_consumption,15662.112602464904,15353.297296401188,-308.815306063716,-1.9717346816617487
