group,year,fuel,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
CHINA,2025,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,656.5706520111721,567.9644651045755,-88.60618690659658,-13.495301173633461
CHINA,2025,Gas,S1_NO_CN,modeled_final_demand_Mtoe,178.07852005872726,177.00882471878276,-1.0696953399445022,-0.6006874605605071
CHINA,2025,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,178.07852005872726,117.6096900044805,-60.468830054246766,-33.956273914622145
CHINA,2025,Oil,S1_NO_CN,modeled_final_demand_Mtoe,1.2108705273465432,1.2034764971934806,-0.007394030153062614,-0.610637552576791
CHINA,2025,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,1.2108705273465432,1.2274721547248248,0.016601627378281636,1.371048927473842
CHINA,2025,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,1127.3979702106417,1123.9318776201535,-3.466092590488188,-0.3074417980228035
CHINA,2025,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,1127.3979702106417,997.465898136084,-129.9320720745577,-11.52495174798668
CHINA,2030,Coal,S1_NO_CN,modeled_final_demand_Mtoe,377.853459285856,376.44057978117627,-1.4128795046797222,-0.3739226067560869
CHINA,2030,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,377.853459285856,200.47208813973543,-177.38137114612056,-46.9444878131781
CHINA,2030,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,656.2848286864904,656.2161057797433,-0.06872290674709802,-0.010471506233755588
CHINA,2030,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,656.2848286864904,588.6704382097835,-67.61439047670694,-10.30259843306641
CHINA,2030,Gas,S1_NO_CN,modeled_final_demand_Mtoe,198.5711742505737,196.82658135003624,-1.7445929005374694,-0.8785730895341316
CHINA,2030,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,198.5711742505737,131.0006003769163,-67.5705738736574,-34.02839013702523
CHINA,2030,Oil,S1_NO_CN,modeled_final_demand_Mtoe,1.1327841902118825,1.1214862798347187,-0.011297910377163767,-0.9973577027986718
CHINA,2030,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,1.1327841902118825,1.1997636189677643,0.06697942875588181,5.912814579743878
CHINA,2030,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,1359.2283538160168,1352.5965672394875,-6.631786576529294,-0.48790819864157736
CHINA,2030,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,1359.2283538160168,1195.7818466767058,-163.44650713931105,-12.024948323100897
CHINA,2035,Coal,S1_NO_CN,modeled_final_demand_Mtoe,297.8519218429873,297.0788387451638,-0.7730830978234735,-0.2595528318366885
CHINA,2035,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,297.8519218429873,172.22603018449752,-125.62589165848976,-42.17729765890632
CHINA,2035,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,685.0422122173151,685.0273917946131,-0.014820422701973257,-0.002163432039319614
CHINA,2035,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,685.0422122173151,622.977989885309,-62.064222332006125,-9.05991210835305
CHINA,2035,Gas,S1_NO_CN,modeled_final_demand_Mtoe,174.01185815519543,172.77319754577644,-1.2386606094189858,-0.7118254023322166
CHINA,2035,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,174.01185815519543,125.76385094756662,-48.2480072076288,-27.72685018086411
CHINA,2035,Oil,S1_NO_CN,modeled_final_demand_Mtoe,0.9858964098273976,0.9759582135504784,-0.009938196276919165,-1.0080365622448164
CHINA,2035,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,0.9858964098273976,1.071994847078615,0.08609843725121735,8.73301052656138
CHINA,2035,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,1457.9427180891707,1451.386692913768,-6.556025175402738,-0.44967645807067697
CHINA,2035,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,1457.9427180891707,1267.0219024724402,-190.92081561673058,-13.09522063164168
CHINA,2040,Coal,S1_NO_CN,modeled_final_demand_Mtoe,277.3917763565154,276.69215160697524,-0.6996247495401349,-0.2522153896303502
CHINA,2040,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,277.3917763565154,162.55792914046577,-114.8338472160496,-41.39771146944904
CHINA,2040,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,709.4321388570652,709.4209638521315,-0.01117500493364787,-0.0015752042121536004
CHINA,2040,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,709.4321388570652,649.3570876165278,-60.07505124053739,-8.468047604570279
CHINA,2040,Gas,S1_NO_CN,modeled_final_demand_Mtoe,176.24002894787873,175.04169701314515,-1.1983319347335737,-0.6799431104768876
CHINA,2040,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,176.24002894787873,126.68680948570604,-49.55321946217269,-28.11689248917882
