scenario,year,region,sector,CO2_Mt,CO2_Mt_S0,CO2_Mt_gap,CO2_Mt_pct
S2_CAPACITY,2050,Australia_Oceania,Power,232.75587846683192,246.69769930604872,-13.941820839216803,-5.651378540794915
S1_NO_CN,2050,Australia_Oceania,Households,128.80740852330732,129.64318196255536,-0.8357734392480438,-0.6446721120200821
S2_CAPACITY,2050,Australia_Oceania,Households,116.34388757984172,129.64318196255536,-13.29929438271364,-10.258383187906368
S1_NO_CN,2050,China,Rice,18.238096939565583,18.31970987650096,-0.0816129369353753,-0.4454925186345979
S2_CAPACITY,2050,China,Rice,13.738025958621064,18.31970987650096,-4.581683917879895,-25.009587754208425
S1_NO_CN,2050,China,Crops nec,99.07432323521712,99.53461646848078,-0.46029323326365557,-0.4624453778946491
S2_CAPACITY,2050,China,Crops nec,74.18996351047019,99.53461646848078,-25.344652958010585,-25.463154284656706
S1_NO_CN,2050,China,"Bovine cattle, sheep and goats, horses",5.735931075267858,5.756688715121539,-0.02075763985368173,-0.3605829823515736
S2_CAPACITY,2050,China,"Bovine cattle, sheep and goats, horses",4.571400195772322,5.756688715121539,-1.1852885193492178,-20.589762240152552
S1_NO_CN,2050,China,Animal products nec,69.64793633608005,69.9039242173769,-0.25598788129684635,-0.36619958630764854
S2_CAPACITY,2050,China,Animal products nec,55.35434338759575,69.9039242173769,-14.54958082978115,-20.813682483027723
S1_NO_CN,2050,China,Forestry,13.829553291169267,13.87613083389423,-0.04657754272496284,-0.33566664427227233
S2_CAPACITY,2050,China,Forestry,10.69501897610709,13.87613083389423,-3.1811118577871405,-22.925063880320778
S1_NO_CN,2050,China,Coal,28.62796938263255,28.54905315119626,0.07891623143628834,0.27642328808015687
S2_CAPACITY,2050,China,Coal,9.237775963529934,28.54905315119626,-19.311277187666327,-67.64244364040195
S1_NO_CN,2050,China,Oil,5.699913236858585,5.724689794471086,-0.024776557612501193,-0.43280174999928256
S2_CAPACITY,2050,China,Oil,4.533440854973814,5.724689794471086,-1.1912489394972718,-20.808969258872015
S1_NO_CN,2050,China,Gas,36.50721268680062,36.44477492009321,0.06243776670741141,0.17132158682365028
S2_CAPACITY,2050,China,Gas,16.5876231018718,36.44477492009321,-19.85715181822141,-54.48559323458328
S1_NO_CN,2050,China,Mine,69.20992532694737,69.51419158405027,-0.30426625710289557,-0.4377037985617719
S2_CAPACITY,2050,China,Mine,49.06561216961648,69.51419158405027,-20.448579414433787,-29.416409726507737
S1_NO_CN,2050,China,Manufac,2430.375284395899,2438.5167149097133,-8.141430513814157,-0.3338681446813702
S2_CAPACITY,2050,China,Manufac,1746.8830905941809,2438.5167149097133,-691.6336243155324,-28.362882242582465
S1_NO_CN,2050,China,Petro,526.9214804515987,525.9621217801556,0.9593586714430558,0.1824007151305952
S2_CAPACITY,2050,China,Petro,356.6023092403751,525.9621217801556,-169.35981253978048,-32.20000177323993
S1_NO_CN,2050,China,WatWaste,0.5591895679179775,0.5628808494656172,-0.0036912815476397576,-0.6557838219481358
S2_CAPACITY,2050,China,WatWaste,0.4062219303212421,0.5628808494656172,-0.15665891914437513,-27.831630671589302
S1_NO_CN,2050,China,OthServ,315.467952206375,317.04665485526425,-1.578702648889248,-0.4979401689665975
S2_CAPACITY,2050,China,OthServ,236.4796104837312,317.04665485526425,-80.56704437153306,-25.411731408525007
S1_NO_CN,2050,China,Transport,1413.9494055497853,1417.3113580541683,-3.361952504382998,-0.23720634744638147
S2_CAPACITY,2050,China,Transport,1203.3439774298135,1417.3113580541683,-213.96738062435475,-15.096709654405881
S1_NO_CN,2050,China,Power,4424.015170819749,4426.793045492711,-2.7778746729618433,-0.06275140139632754
S2_CAPACITY,2050,China,Power,2843.2796882036346,4426.793045492711,-1583.5133572890763,-35.7711178502321
S1_NO_CN,2050,China,Households,1944.9544485357253,1952.228914194678,-7.274465658952749,-0.372623599930317
S2_CAPACITY,2050,China,Households,1537.016310409414,1952.228914194678,-415.21260378526404,-21.268643280828833
S1_NO_CN,2050,Japan,Rice,2.883345767519081,2.9027657412193397,-0.01941997370025872,-0.6690162221668339
S2_CAPACITY,2050,Japan,Rice,2.551448655818093,2.9027657412193397,-0.35131708540124684,-12.102839730142058
S1_NO_CN,2050,Japan,Crops nec,14.718692308594386,14.820426787177237,-0.10173447858285023,-0.6864476984621779
S2_CAPACITY,2050,Japan,Crops nec,13.032648296126034,14.820426787177237,-1.7877784910512027,-12.06293527658734
S1_NO_CN,2050,Japan,"Bovine cattle, sheep and goats, horses",0.3830051984682049,0.382664840457665,0.00034035801053988735,0.0889441554475768
S2_CAPACITY,2050,Japan,"Bovine cattle, sheep and goats, horses",0.3317513117312798,0.382664840457665,-0.050913528726385215,-13.304992605407103
S1_NO_CN,2050,Japan,Animal products nec,19.871424228350097,20.005693973951296,-0.1342697456011983,-0.6711576502970913
S2_CAPACITY,2050,Japan,Animal products nec,17.78896256448961,20.005693973951296,-2.216731409461687,-11.080502442694636
