scenario,year,region,sector,CO2_Mt
S0_BASELINE,2050,Canada,Mine,24.8514780648578
S0_BASELINE,2050,Canada,Manufac,80.90176996884688
S0_BASELINE,2050,Canada,Petro,40.29076674132234
S0_BASELINE,2050,Canada,WatWaste,0.521726575581702
S0_BASELINE,2050,Canada,OthServ,105.40434215013536
S0_BASELINE,2050,Canada,Transport,256.8428383593785
S0_BASELINE,2050,Canada,Power,219.03098410597588
S0_BASELINE,2050,Canada,Households,227.34743749850463
S0_BASELINE,2050,United States,Rice,1.3258700633569611
S0_BASELINE,2050,United States,Crops nec,90.25019978177244
S0_BASELINE,2050,United States,"Bovine cattle, sheep and goats, horses",21.14082967744118
S0_BASELINE,2050,United States,Animal products nec,39.90262010380136
S0_BASELINE,2050,United States,Forestry,11.631226100445664
S0_BASELINE,2050,United States,Coal,8.004283196464703
S0_BASELINE,2050,United States,Oil,11.29214265191746
