scenario,year,technology,generation_TWh,generation_TWh_S0,generation_TWh_gap,generation_TWh_pct
S2_CAPACITY,2045,Wind,8428.09818089717,7353.065248316667,1075.0329325805033,14.620201185167097
S1_NO_CN,2050,Biomass,481.7863829260963,447.79941034334604,33.98697258275024,7.589776091194726
S2_CAPACITY,2050,Biomass,489.2041350540865,447.79941034334604,41.40472471074048,9.24626601875018
S1_NO_CN,2050,Coal_Power,11936.044473324288,11791.850484314038,144.19398901024942,1.22282748752676
S2_CAPACITY,2050,Coal_Power,8926.24120264838,11791.850484314038,-2865.6092816656583,-24.301608008663266
S1_NO_CN,2050,Gas_Power,9313.395611394451,9152.4944823523,160.9011290421513,1.7580030160345728
S2_CAPACITY,2050,Gas_Power,8506.694952443506,9152.4944823523,-645.7995299087943,-7.0559947471589854
S1_NO_CN,2050,Hydro,4013.7611548663485,3933.8036248873923,79.95752997895625,2.0325755325736443
S2_CAPACITY,2050,Hydro,4841.693254530944,3933.8036248873923,907.8896296435514,23.079180259526563
S1_NO_CN,2050,Nuclear,6782.667174411129,6290.801006804666,491.866167606463,7.8188161900911926
S2_CAPACITY,2050,Nuclear,7514.5922174115885,6290.801006804666,1223.7912106069225,19.453662725671432
S1_NO_CN,2050,Oil_Power,2428.9573505547523,2387.1633578755705,41.79399267918188,1.7507805882365748
S2_CAPACITY,2050,Oil_Power,2010.4292082013199,2387.1633578755705,-376.7341496742506,-15.781666069536229
S1_NO_CN,2050,Solar,7561.614231032146,9610.171205681048,-2048.5569746489027,-21.316550254982964
S2_CAPACITY,2050,Solar,9403.025147323193,9610.171205681048,-207.1460583578555,-2.155487700733169
S1_NO_CN,2050,Wind,7082.2454985898485,7418.150112152204,-335.90461356235573,-4.528145271852699
S2_CAPACITY,2050,Wind,8711.868353662467,7418.150112152204,1293.7182415102625,17.43990377588787
