technology,country,year,tic,unit,source_sheet,source_cell,source_status,imputed
wind,Mexico,2021,1671.399215696986,2024 USD/kW,Fig 2.7,N22,IRENA_reported_cell,False
wind,Mexico,2022,1614.2596639523192,2024 USD/kW,Fig 2.7,O22,IRENA_reported_cell,False
wind,Mexico,2023,,2024 USD/kW,Fig 2.7,P22,source_blank,False
wind,Mexico,2024,,2024 USD/kW,Fig 2.7,Q22,source_blank,False
wind,Morocco,2010,,2024 USD/kW,Fig 2.7,C23,source_blank,False
wind,Morocco,2011,2468.0406830333195,2024 USD/kW,Fig 2.7,D23,IRENA_reported_cell,False
wind,Morocco,2012,2893.797635819946,2024 USD/kW,Fig 2.7,E23,IRENA_reported_cell,False
wind,Morocco,2013,2389.425398268113,2024 USD/kW,Fig 2.7,F23,IRENA_reported_cell,False
wind,Morocco,2014,2510.7245011094856,2024 USD/kW,Fig 2.7,G23,IRENA_reported_cell,False
wind,Morocco,2015,,2024 USD/kW,Fig 2.7,H23,source_blank,False
wind,Morocco,2016,1753.0045915852259,2024 USD/kW,Fig 2.7,I23,IRENA_reported_cell,False
wind,Morocco,2017,1744.0910783356032,2024 USD/kW,Fig 2.7,J23,IRENA_reported_cell,False
wind,Morocco,2018,2485.014729965892,2024 USD/kW,Fig 2.7,K23,IRENA_reported_cell,False
wind,Morocco,2019,,2024 USD/kW,Fig 2.7,L23,source_blank,False
wind,Morocco,2020,1581.6979014412022,2024 USD/kW,Fig 2.7,M23,IRENA_reported_cell,False
wind,Morocco,2021,1063.3299688864263,2024 USD/kW,Fig 2.7,N23,IRENA_reported_cell,False
wind,Morocco,2022,1998.630520549542,2024 USD/kW,Fig 2.7,O23,IRENA_reported_cell,False
wind,Morocco,2023,1637.9556365859437,2024 USD/kW,Fig 2.7,P23,IRENA_reported_cell,False
wind,Morocco,2024,1215.7407407407409,2024 USD/kW,Fig 2.7,Q23,IRENA_reported_cell,False
wind,Netherlands,2010,2158.92562733493,2024 USD/kW,Fig 2.7,C24,IRENA_reported_cell,False
wind,Netherlands,2011,,2024 USD/kW,Fig 2.7,D24,source_blank,False
wind,Netherlands,2012,2634.4007784464193,2024 USD/kW,Fig 2.7,E24,IRENA_reported_cell,False
wind,Netherlands,2013,2047.711158514466,2024 USD/kW,Fig 2.7,F24,IRENA_reported_cell,False
wind,Netherlands,2014,2464.6422557303017,2024 USD/kW,Fig 2.7,G24,IRENA_reported_cell,False
wind,Netherlands,2015,3128.7477408195973,2024 USD/kW,Fig 2.7,H24,IRENA_reported_cell,False
wind,Netherlands,2016,2206.684379051889,2024 USD/kW,Fig 2.7,I24,IRENA_reported_cell,False
wind,Netherlands,2017,3123.1643487174047,2024 USD/kW,Fig 2.7,J24,IRENA_reported_cell,False
wind,Netherlands,2018,2832.8473094792557,2024 USD/kW,Fig 2.7,K24,IRENA_reported_cell,False
wind,Netherlands,2019,2525.561275193945,2024 USD/kW,Fig 2.7,L24,IRENA_reported_cell,False
wind,Netherlands,2020,2425.633757502371,2024 USD/kW,Fig 2.7,M24,IRENA_reported_cell,False
wind,Netherlands,2021,2448.47367719408,2024 USD/kW,Fig 2.7,N24,IRENA_reported_cell,False
wind,Netherlands,2022,1878.9958952870404,2024 USD/kW,Fig 2.7,O24,IRENA_reported_cell,False
wind,Netherlands,2023,1741.372212705164,2024 USD/kW,Fig 2.7,P24,IRENA_reported_cell,False
wind,Netherlands,2024,1684.5153447099583,2024 USD/kW,Fig 2.7,Q24,IRENA_reported_cell,False
wind,New Zealand,2010,,2024 USD/kW,Fig 2.7,C25,source_blank,False
wind,New Zealand,2011,2300.4809656889506,2024 USD/kW,Fig 2.7,D25,IRENA_reported_cell,False
wind,New Zealand,2012,,2024 USD/kW,Fig 2.7,E25,source_blank,False
wind,New Zealand,2013,,2024 USD/kW,Fig 2.7,F25,source_blank,False
wind,New Zealand,2014,3476.1093814487704,2024 USD/kW,Fig 2.7,G25,IRENA_reported_cell,False
wind,New Zealand,2015,2958.7542129979165,2024 USD/kW,Fig 2.7,H25,IRENA_reported_cell,False
wind,New Zealand,2016,,2024 USD/kW,Fig 2.7,I25,source_blank,False
wind,New Zealand,2017,,2024 USD/kW,Fig 2.7,J25,source_blank,False
wind,New Zealand,2018,,2024 USD/kW,Fig 2.7,K25,source_blank,False
wind,New Zealand,2019,,2024 USD/kW,Fig 2.7,L25,source_blank,False
wind,New Zealand,2020,1575.9233548083519,2024 USD/kW,Fig 2.7,M25,IRENA_reported_cell,False
wind,New Zealand,2021,1521.100715149986,2024 USD/kW,Fig 2.7,N25,IRENA_reported_cell,False
wind,New Zealand,2022,,2024 USD/kW,Fig 2.7,O25,source_blank,False
wind,New Zealand,2023,1717.7535666860015,2024 USD/kW,Fig 2.7,P25,IRENA_reported_cell,False
wind,New Zealand,2024,1162.3080116230801,2024 USD/kW,Fig 2.7,Q25,IRENA_reported_cell,False
wind,Norway,2010,,2024 USD/kW,Fig 2.7,C26,source_blank,False
wind,Norway,2011,,2024 USD/kW,Fig 2.7,D26,source_blank,False
wind,Norway,2012,2640.6881311396087,2024 USD/kW,Fig 2.7,E26,IRENA_reported_cell,False
wind,Norway,2013,2509.3957579474786,2024 USD/kW,Fig 2.7,F26,IRENA_reported_cell,False
wind,Norway,2014,,2024 USD/kW,Fig 2.7,G26,source_blank,False
wind,Norway,2015,2047.0572518825313,2024 USD/kW,Fig 2.7,H26,IRENA_reported_cell,False
wind,Norway,2016,2198.6991750939587,2024 USD/kW,Fig 2.7,I26,IRENA_reported_cell,False
wind,Norway,2017,2272.3747551959104,2024 USD/kW,Fig 2.7,J26,IRENA_reported_cell,False
wind,Norway,2018,2302.9466061248804,2024 USD/kW,Fig 2.7,K26,IRENA_reported_cell,False
wind,Norway,2019,2117.2171994664586,2024 USD/kW,Fig 2.7,L26,IRENA_reported_cell,False
wind,Norway,2020,1491.7999285427406,2024 USD/kW,Fig 2.7,M26,IRENA_reported_cell,False
wind,Norway,2021,1750.1899748354551,2024 USD/kW,Fig 2.7,N26,IRENA_reported_cell,False
wind,Norway,2022,,2024 USD/kW,Fig 2.7,O26,source_blank,False
wind,Norway,2023,,2024 USD/kW,Fig 2.7,P26,source_blank,False
wind,Norway,2024,,2024 USD/kW,Fig 2.7,Q26,source_blank,False
wind,Pakistan,2010,,2024 USD/kW,Fig 2.7,C27,source_blank,False
wind,Pakistan,2011,,2024 USD/kW,Fig 2.7,D27,source_blank,False
wind,Pakistan,2012,3241.6244028628657,2024 USD/kW,Fig 2.7,E27,IRENA_reported_cell,False
wind,Pakistan,2013,,2024 USD/kW,Fig 2.7,F27,source_blank,False
wind,Pakistan,2014,1895.6171040113568,2024 USD/kW,Fig 2.7,G27,IRENA_reported_cell,False
