technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution
wind,FRA,2011,0.045298839205294386,2644.948773343461,1803.593619802517,848.8218444253614,841.3551535409442,2652.415464227878,216.24613,0.8685660178057291,0.2520769073090383,0.0,excluded_for_wind,False,1.4359771484449466,8.88629698988525,0.13474194332251824,39.48362785239466,0.0,49.94064393404738,2702.3561081619255
wind,FRA,2012,0.045298839205294386,2400.053077507022,1562.9963202819724,890.3498385030584,837.0567572250495,2453.3461587850306,261.36127,0.8334319771249964,0.2520769073090383,0.0,excluded_for_wind,False,6.203544640581052,28.99296446425481,0.29040936165003395,48.51192740098038,0.0,83.99884586746629,2537.3450046524968
wind,FRA,2013,0.045298839205294386,2262.0084106773293,1424.5039292118086,915.7976987457749,837.5044814655207,2340.3016279575836,292.27612,0.7998293873615128,0.2520769073090383,0.0,excluded_for_wind,False,19.612913981746377,83.15864892800447,0.7020316206207681,61.673267623552675,0.0,165.1468621539243,2505.448490111508
wind,FRA,2014,0.045298839205294386,2137.2782742110044,1412.2357781286764,951.8383027926491,725.042496082328,2364.0740809213257,340.63979000000006,0.7694570854450093,0.2520769073090383,0.0,excluded_for_wind,False,1.756385448864088,-0.4153970140857408,0.0,79.20658883989634,0.0,80.5475772746747,2444.621658196
wind,FRA,2015,0.045298839205294386,2131.6884264783607,1265.4926011811742,993.8144860809675,866.1958252971865,2259.307087262142,404.24651,0.7214741816818653,0.2520769073090383,0.0,excluded_for_wind,False,18.604097408255605,49.078747557826794,0.0,98.60124031306344,0.0,166.28408527914584,2425.591172541288
wind,FRA,2016,0.045298839205294386,2109.213578229046,1240.429921415068,1022.4617579714765,868.783656813978,2262.8916793865446,452.48745,0.7146964186520532,0.2520769073090383,0.0,excluded_for_wind,False,2.738521108660846,0.7747041623973483,0.0,98.36750791391461,0.0,101.8807331849728,2364.7724125715176
wind,FRA,2017,0.045298839205294386,2402.662458269312,1183.63001414796,1046.2332274474143,1219.032444121352,2229.8632415953743,495.6822,0.710261574855825,0.2520769073090383,0.0,excluded_for_wind,False,2.1361599316143103,-1.1752058048440828,0.0,92.76307636456346,0.0,93.72403049133369,2323.5872720867083
wind,FRA,2018,0.045298839205294386,2320.5563744430056,882.4999124519697,1068.7837965895824,1438.0564619910358,1951.2837090415521,539.4404499999999,0.6995445558448573,0.2520769073090383,0.0,excluded_for_wind,False,120.78379376572475,263.4934962009431,0.0,70.48718028759151,0.0,454.7644702542594,2406.0481792958117
wind,FRA,2019,0.045298839205294386,2101.797854337148,713.5315060952424,1095.173502029492,1388.2663482419052,1808.7050081247344,594.24654,0.6876345464291639,0.2520769073090383,0.0,excluded_for_wind,False,190.50164713995645,380.5454010282051,0.0,59.787970366635015,0.0,630.8350185347966,2439.540026659531
wind,FRA,2020,0.045298839205294386,1823.726881097778,752.03445933537,1140.6511354777597,1071.692421762408,1892.6855948131297,698.33524,0.6349287915070704,0.2520769073090383,0.0,excluded_for_wind,False,146.00248058812033,276.7307866947279,0.0,85.91126648287165,0.0,508.6445337657199,2401.33012857885
wind,FRA,2021,0.045298839205294386,2020.280869555222,826.878066227157,1168.81171933514,1193.402803328065,1995.689785562297,769.27527,0.6301816773597831,0.2520769073090383,0.0,excluded_for_wind,False,50.17602977962348,82.78679421889667,-0.05415287803616949,80.53418317333151,0.0,213.4428542938155,2209.1326398561123
