iso3,year,price,source,scope,period,raw_value,raw_unit,conversion,source_location,Q_global_gw,material,logQ,logM,eligible,logP
CHN,2023,,,,,,,,,1408.5874199999998,15.442415868619175,7.2503426514181,2.737118000531579,False,
USA,2023,0.3990112970065271,NREL Q1 2023,utility module component,Q1,0.3722561235027214,2022 USD/Wdc,1.0718730245510928,raw/NREL/2023/1695656499-PVSCM Q12023_0.xlsm / System!H10,1408.5874199999998,15.442415868619175,7.2503426514181,2.737118000531579,True,-0.9187655491935208
DEU,2023,0.4361885956398473,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),0.3916909090909091,nominal EUR/Wp; digitized,1.113604083005691,"PDF p9, original image year 2023; 2006 anchor 3306.6 EUR/kWp",1408.5874199999998,15.442415868619175,7.2503426514181,2.737118000531579,True,-0.8296805703527047
JPN,2023,,,,,,,,,1408.5874199999998,15.442415868619175,7.2503426514181,2.737118000531579,False,
KOR,2023,,,,,,,,,1408.5874199999998,15.442415868619175,7.2503426514181,2.737118000531579,False,
CHN,2024,0.0972785176606832,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.0972785176606832,2024 USD/W,1.0,CHN__china_domestic_typical,1864.01976,4.7,7.530490596047716,1.547562508716013,True,-2.3301770987434205
USA,2024,0.3459101154570695,NREL Q1 2024,utility module component,Q1,0.336,2023 USD/Wdc,1.0294943912412784,raw/NREL/2024/1764611886-PVSCM 2024_unpacked/UPV 2024Q1.txt / line 164: Factors.ModuleMarketPrice,1864.01976,4.7,7.530490596047716,1.547562508716013,True,-1.0615763195895638
DEU,2024,,,,,,,,,1864.01976,4.7,7.530490596047716,1.547562508716013,False,
JPN,2024,,,,,,,,,1864.01976,4.7,7.530490596047716,1.547562508716013,False,
KOR,2024,,,,,,,,,1864.01976,4.7,7.530490596047716,1.547562508716013,False,
