model_id,technology,iso3,country,fit_end,spec,G_transform,material_included,n,df_resid,first_year,last_year,observed_years,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_within_spec_window,p_BH_all_four_specs_window
pv_KOR_2022_B,pv,KOR,Republic of Korea,2022,B,ln(1+G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,1.9073035058201704,1.465831112541611,0.22552077827082118,-1.4086368449502285,5.223243856590569,,0.2706249339249854,0.39798086559419327
pv_KOR_2022_C,pv,KOR,Republic of Korea,2022,C,ln(G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,18.138761911168046,14.637857277575941,0.2504034792854988,-15.616197501450465,51.89372132378656,,,
pv_KOR_2022_C,pv,KOR,Republic of Korea,2022,C,ln(G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.3435509259454772,0.31571271113515,0.30821053942965215,-1.0715857433596514,0.384483891468697,,0.6627973335072986,0.4885361976228688
pv_KOR_2022_C,pv,KOR,Republic of Korea,2022,C,ln(G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,-0.8660075303038255,1.5399969282513952,0.5892873791538631,-4.417246815053256,2.685231754445605,,0.8831476719481323,0.7372926256515595
pv_KOR_2022_C,pv,KOR,Republic of Korea,2022,C,ln(G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logM,0.27760132388557457,0.12104698524740011,0.050998648001058376,-0.0015335246489277532,0.5567361724200769,*,0.18359513280381015,0.1274978476246263
pv_KOR_2022_D,pv,KOR,Republic of Korea,2022,D,ln(G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-7.5871178310406435,14.286577035489069,0.6082273425691129,-39.90560040453912,24.731364742457835,,,
pv_KOR_2022_D,pv,KOR,Republic of Korea,2022,D,ln(G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.9442260122130719,0.2851784339809276,0.009069434071081533,-1.589344449334542,-0.2991075750916016,***,0.021766641770595677,0.04534717035540766
pv_KOR_2022_D,pv,KOR,Republic of Korea,2022,D,ln(G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,1.9072722267808189,1.465812957852452,0.2255224905033762,-1.4086270552294593,5.223171508791097,,0.27062698860405143,0.39798086559419327
pv_USA_2022_A,pv,USA,United States,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,22.105751319642934,16.66669167696455,0.21739652176225455,-15.596924638483223,59.80842727776909,,,
pv_USA_2022_A,pv,USA,United States,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.36356364862686696,0.38739808214183147,0.37250099360325273,-1.2399189950199516,0.5127916977662178,,0.6705017884858548,0.5321442765760753
pv_USA_2022_A,pv,USA,United States,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,-1.1272212918548021,1.7805570015689727,0.5424359260066346,-5.155121066824071,2.9006784831144667,,0.8831477400541777,0.7372926256515595
pv_USA_2022_A,pv,USA,United States,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logM,-0.013303657321658946,0.14271993437062214,0.9277747521836066,-0.3361585791402288,0.3095512644969109,,0.9589954078973659,0.9589954078973659
pv_USA_2022_B,pv,USA,United States,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,23.35838545962889,8.003136787500575,0.015335781312901234,5.526285445808995,41.19048547344879,**,,
pv_USA_2022_B,pv,USA,United States,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.33425889869291936,0.1817686201987911,0.09576698428409665,-0.7392646234259046,0.07074682604006594,*,0.14365047642614498,0.22100473456964043
pv_USA_2022_B,pv,USA,United States,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,-1.262227793020621,0.8330604245702816,0.16068008144499635,-3.1184020910400725,0.5939465049988306,,0.21424010859332845,0.32136242155541067
pv_USA_2022_C,pv,USA,United States,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,22.105354419804712,16.666376088027576,0.21739610831382955,-15.596607626547154,59.80731646615658,,,
