technology,iso3,year,observed,procurement,B_fit,B_anchor,beta_B,model_factual,capacity_weight,observation_rule,observed_completed
pv,KOR,2014,2633.44817638635,974.8838372448054,1944.8390574903697,1658.5643391415447,-0.4321698509914313,2919.722894735175,3152.029999999999,reported,2633.44817638635
pv,KOR,2015,2490.6956467529776,837.2135815269241,1751.9240145500821,1653.4820652260535,-0.4321698509914313,2589.1375960770065,3152.029999999999,reported,2490.6956467529776
pv,KOR,2016,2457.944023668056,699.0730856661256,1551.3257865062353,1758.8709380019304,-0.4321698509914313,2250.398872172361,3152.029999999999,reported,2457.944023668056
pv,KOR,2017,1883.095475647461,600.8146595122562,1376.1981036958905,1282.2808161352048,-0.4321698509914313,1977.0127632081467,3152.029999999999,reported,1883.095475647461
pv,KOR,2018,1579.1431074974807,553.4523933840258,1251.874887175669,1025.690714113455,-0.4321698509914313,1805.3272805596948,3152.029999999999,reported,1579.1431074974807
pv,KOR,2019,1491.0871038765438,446.55991051804364,1151.9081585520148,1044.5271933585002,-0.4321698509914313,1598.4680690700584,3152.029999999999,reported,1491.0871038765438
pv,KOR,2020,1116.603856846098,416.4126542630649,1055.180518348227,700.1912025830331,-0.4321698509914313,1471.593172611292,3152.029999999999,reported,1116.603856846098
pv,KOR,2021,1068.21464090682,439.2053136315501,974.1603429833808,629.0093272752699,-0.4321698509914313,1413.365656614931,3152.029999999999,reported,1068.21464090682
pv,KOR,2022,1420.2340770009885,325.8282818133946,892.8877476544774,1094.4057951875939,-0.4321698509914313,1218.716029467872,3152.029999999999,reported,1420.2340770009885
pv,KOR,2023,1234.052546300519,225.32263256451955,785.0776674979808,1008.7299137359994,-0.4321698509914313,1010.4003000625003,3152.029999999999,reported,1234.052546300519
pv,KOR,2024,1262.2227758007118,143.30763666718263,695.5557434474163,1118.9151391335292,-0.4321698509914313,838.8633801145988,3152.029999999999,reported,1262.2227758007118
pv,USA,2010,5552.428538737875,2848.4060455608787,4405.044482607526,2704.0224931769962,-0.5214862563796543,7253.450528168405,37667.69999999998,reported,5552.428538737875
pv,USA,2011,5343.332324829953,2069.7615020172807,3272.056791919226,3273.5708228126723,-0.5214862563796543,5341.818293936507,37667.69999999998,reported,5343.332324829953
pv,USA,2012,5205.807053591208,1462.218057528555,2731.9199006919366,3743.5889960626537,-0.5214862563796543,4194.137958220492,37667.69999999998,reported,5205.807053591208
pv,USA,2013,4196.912593835998,1161.7984185173377,2332.765381665122,3035.1141753186607,-0.5214862563796543,3494.5638001824595,37667.69999999998,reported,4196.912593835998
pv,USA,2014,3436.432230506145,1070.405331558391,2047.5179203817836,2366.026898947754,-0.5214862563796543,3117.923251940175,37667.69999999998,reported,3436.432230506145
pv,USA,2015,3062.1627290585498,929.4968620446946,1805.0242312872776,2132.665867013855,-0.5214862563796543,2734.521093331972,37667.69999999998,reported,3062.1627290585498
pv,USA,2016,2651.787883404358,769.1770711604486,1558.6768686803014,1882.6108122439095,-0.5214862563796543,2327.85393984075,37667.69999999998,reported,2651.787883404358
pv,USA,2017,2230.025830283302,672.8519186677041,1348.908999425637,1557.1739116155982,-0.5214862563796543,2021.760918093341,37667.69999999998,reported,2230.025830283302
pv,USA,2018,1844.1949390024656,762.3423197697114,1203.2735258230714,1081.8526192327543,-0.5214862563796543,1965.6158455927828,37667.69999999998,reported,1844.1949390024656
pv,USA,2019,1453.1489723057368,635.9096908691665,1088.3074718433973,817.2392814365703,-0.5214862563796543,1724.2171627125638,37667.69999999998,reported,1453.1489723057368
pv,USA,2020,1317.4012030837664,546.1981998224437,979.0125238829222,771.2030032613227,-0.5214862563796543,1525.210723705366,37667.69999999998,reported,1317.4012030837664
pv,USA,2021,1233.0080860825803,575.0955165437235,889.0398991502562,657.9125695388568,-0.5214862563796543,1464.1354156939797,37667.69999999998,reported,1233.0080860825803
pv,USA,2022,1187.455420163696,511.8694161008983,800.329113130161,675.5860040627978,-0.5214862563796543,1312.1985292310592,37667.69999999998,reported,1187.455420163696
pv,USA,2023,1135.012086639563,386.5880013162117,685.2275206658758,748.4240853233513,-0.5214862563796543,1071.8155219820874,37667.69999999998,reported,1135.012086639563
pv,USA,2024,1058.0371018079034,275.2245466799997,592.0893941961257,782.8125551279036,-0.5214862563796543,867.3139408761253,37667.69999999998,reported,1058.0371018079034
wind,AUS,2010,4143.084429461239,1295.3389832043736,2863.911604315566,2847.7454462568653,-0.6608866327723203,4159.2505875199395,2655.0,reported,4143.084429461239
wind,AUS,2011,4377.598776191059,1542.688325579923,2515.536421018882,2834.910450611136,-0.6608866327723203,4058.224746598805,2655.0,reported,4377.598776191059
wind,AUS,2012,3732.398308548318,1557.2251050044906,2219.4447588538424,2175.173203543827,-0.6608866327723203,3776.669863858333,2655.0,reported,3732.398308548318
wind,AUS,2013,2770.434468668928,1002.6187317654744,2061.374527368672,1767.8157369034534,-0.6608866327723203,3063.9932591341462,2655.0,reported,2770.434468668928
wind,AUS,2014,3022.048049327942,830.2906161848023,1862.9731421970641,2191.7574331431397,-0.6608866327723203,2693.2637583818664,2655.0,reported,3022.048049327942
wind,AUS,2015,2819.857193002646,821.9607932530575,1663.6772430507474,1997.8963997495885,-0.6608866327723203,2485.638036303805,2655.0,reported,2819.857193002646
wind,AUS,2016,2630.9450852533323,1006.2450290606712,1544.2296798740854,1624.7000561926611,-0.6608866327723203,2550.4747089347566,2655.0,reported,2630.9450852533323
wind,AUS,2017,2043.253944563324,851.8864445264667,1453.9280294814719,1191.3675000368573,-0.6608866327723203,2305.8144740079388,2655.0,reported,2043.253944563324
