target,technology,iso3,year,observed,procurement,B_fit,B_anchor,beta_B,model_factual,capacity_weight,observation_rule,observed_completed,P,S,T,K,E,net,total_decline,remainder,model_without_source_contribution,net_pct
CHN,wind,FRA,2024,1860.4830152221043,685.4288185538267,1263.9149417494928,1175.0541966682777,0.2520769073090383,1949.3437603033194,1137.119999999999,reported,1860.4830152221043,64.72033005430357,86.18964609122976,-1.3841516684459285,75.01851907990276,0.0,224.54434355699016,1089.5794531686884,865.0351096116982,2173.8881038603095,20.608349662245907
CHN,wind,GBR,2024,1925.620884875948,796.6747553890772,996.3099561546004,1128.9461294868706,-0.1000586056861678,1792.9847115436776,812.0999999999985,reported,1925.620884875948,5.178172520574777,2.3292730908035018,0.05831560984552967,127.67697158423944,0.0,135.24273280546325,721.0565960692702,585.813863263807,1928.2274443491408,18.756188285734897
CHN,wind,IND,2024,1110.269638408882,546.3302395020477,513.1751035293131,563.9393989068343,0.177335392834262,1059.5053430313608,3426.920000000005,reported,1110.269638408882,223.21547776415255,155.02725304675343,0.0,6.653459936893951,0.0,384.89619074779995,497.0171557991782,112.12096505137828,1444.4015337791607,77.44122838756068
CHN,wind,ITA,2024,1408.131747785429,653.9514921438822,919.1675354713697,754.1802556415469,-0.361943176041216,1573.119027615252,652.8600000000006,reported,1408.131747785429,68.2100548859684,72.76882520802288,-1.4680959906707973,7.901695114418714,0.0,147.4124792177392,1634.4450235538238,1487.0325443360846,1720.5315068329912,9.01911517936625
CHN,wind,POL,2024,1838.4745885101927,709.5172117566439,1028.9695983304487,1128.957376753549,-0.1006582916667672,1738.4868100870926,808.4300000000003,reported,1838.4745885101927,17.707251663973985,18.23053606116351,-0.3963491672349576,73.17669183408535,0.0,108.71813039198788,1291.3669738725714,1182.6488434805835,1847.2049404790805,8.41884085559059
CHN,wind,SWE,2024,1772.9311285129593,643.5506732109214,803.5649196241793,1129.3804553020377,-0.1317579757291353,1447.1155928351009,595.0,reported,1772.9311285129593,107.87004869313637,149.6822696385949,-2.2824688632392105,78.32564982835399,0.0,333.595499296846,1000.3444573012289,666.7489580043829,1780.7110921319468,33.34806294592104
CHN,wind,TUR,2024,1423.6985915002006,661.6007440343776,789.2089961088717,762.097847465823,-0.1004525561962087,1450.8097401432492,1064.7200000000012,reported,1423.6985915002006,128.84560883258646,211.839077249595,-1.239721088591595,103.2688000673168,0.0,442.71376506090667,1454.6514714419732,1011.9377063810665,1893.5235052041558,30.434353090919537
CHN,wind,USA,2024,1567.812822807036,771.5252250751016,752.7208506166098,796.2875977319343,-0.2631501440880454,1524.2460756917114,5002.399999999994,reported,1567.812822807036,4.390918866429691,-2.6079458452280146,-1.484122219746568,88.40630941404947,0.0,88.70516021550458,1282.1144403540648,1193.4092801385602,1612.951235907216,6.918661659485564
USA,pv,AUS,2024,943.9690385525072,129.51154301459258,579.5357096998207,814.4574955379146,-0.6311445523247294,709.0472527144133,5323.000000000004,reported,943.9690385525072,8.342908289889625,0.5469434655756439,0.0,-26.63379315531363,-65.37676569474715,-83.1207070945955,7282.037669095132,7365.158376189727,625.9265456198177,-1.1414484636265843
USA,pv,BRA,2024,724.4366073748986,131.8617369588426,398.2022818459343,592.574870416056,-0.8431480181598846,530.0640188047769,15550.85,reported,724.4366073748986,77.47010565346844,3.3152033299004966,-1.479933747732105,-23.68801950493534,-81.42235779590663,-25.805002065205144,6798.078946200655,6823.88394826586,504.25901673957173,-0.3795925623903967
USA,pv,CHN,2024,590.5861539927796,109.4301787373887,369.47691176254773,481.1559752553909,-0.5260812937466695,478.90709049993643,276760.0,reported,590.5861539927796,0.0,0.0,0.0,-33.034157436427506,-10.001403355133583,-43.03556079156109,3700.8467482730316,3743.882309064593,435.87152970837536,-1.1628571437507718
USA,pv,DEU,2024,592.9665484018221,139.32381848965485,382.60423905278026,453.6427299121673,-0.384829060580243,521.9280575424351,15685.0,reported,592.9665484018221,46.016489292644415,3.1466545509813177,0.0,-26.143761025007375,-5.41434515188304,17.605037666735317,3819.462950544251,3801.8579128775154,539.5330952091705,0.4609296619627297
USA,pv,ESP,2024,822.1244412681233,145.39462230540977,395.0091498366218,676.7298189627136,-0.4691205152601589,540.4037721420316,6243.260000000002,reported,822.1244412681233,46.32889012725781,0.5503915242350786,0.0,-18.784851476316984,-11.515034918607647,16.579395256568258,4741.7765895245575,4725.197194267989,556.9831673985998,0.34964522143863
USA,pv,FRA,2024,1103.958016240936,140.17118712993985,453.99182716551,963.7868291109962,-0.5680182225907597,594.1630142954499,5333.52,reported,1103.958016240936,66.20617579695855,0.937429627924825,0.0,-20.355214923601977,-15.071597241693453,31.716793259587945,5410.699307984683,5378.982514725096,625.8798075550378,0.5861865805919542
USA,pv,IND,2024,525.1674202758713,191.57837800557286,215.94456851054264,333.5890422702985,-0.7017656828234162,407.5229465161155,24174.719999999987,reported,525.1674202758713,163.88827315146793,22.975270898393603,-79.49470613203886,-23.119497428551384,-51.69415446602592,32.55518602324537,5490.645156154766,5458.08997013152,440.07813253936087,0.5929209609685389
USA,pv,ITA,2024,804.1602225425657,212.89001534158686,303.0347030331993,591.2702072009789,-0.5895247210083466,515.9247183747862,6085.75,reported,804.1602225425657,13.02609630202019,-0.6536311330659667,0.0,-14.481245262651822,-31.028465712600514,-33.13724580629811,5274.714075159887,5307.851320966185,482.78747256848806,-0.6282282856306984
USA,pv,JPN,2024,1911.450682621868,315.6578779059118,1256.3999687750404,1595.7928047159562,-0.1713694705319817,1572.0578466809523,2533.3300000000017,reported,1911.450682621868,30.81864035328308,-22.944503034601993,0.0,-54.47841059331312,16.980741761319265,-29.62353151331277,4732.825819242991,4762.449350756304,1542.4343151676394,-0.6259163688819424
USA,pv,KOR,2024,1262.2227758007118,143.30763666718263,695.5557434474163,1118.9151391335292,-0.4321698509914313,838.8633801145988,3152.029999999999,reported,1262.2227758007118,20.169105789581028,0.5598461099068232,0.0,-33.88189481464937,-12.526931165703267,-25.67987408086479,5750.361703815428,5776.041577896292,813.183506033734,-0.4465784137339728
USA,wind,AUS,2024,1380.5779985677066,364.3836903060438,885.7759428051778,1016.1943082616629,-0.6608866327723203,1250.1596331112216,2655.0,reported,1380.5779985677066,0.16648540097429754,0.12813463011403717,-0.0073000605117534536,4.468943032953124,0.0,4.756263003529705,2762.5064308935325,2757.750167890003,1254.9158961147514,0.17217201561378057
USA,wind,BRA,2024,1307.044736135391,398.9197531891879,635.9618084499955,908.1249829462032,-0.4846771838084797,1034.8815616391835,3807.310000000001,reported,1307.044736135391,10.19906766029388,2.717894059966218,0.4364023939901656,3.909718012795545,0.0,17.26308212704581,1799.196779698392,1781.933697571346,1052.1446437662294,0.9594882739807762
USA,wind,CAN,2024,1237.5279556276118,560.3421311843513,1077.6013681507616,677.1858244432606,-0.2643524831740681,1637.9434993351128,1260.0,reported,1237.5279556276118,75.84043106706058,8.499920771897289,0.0,10.485834758975086,0.0,94.82618659793296,1970.2411215219868,1875.4149349240538,1732.7696859330458,4.812922924107934
USA,wind,CHN,2024,855.9662826565387,311.13156825430923,846.6895163294066,544.8347144022296,0.0009530959629259,1157.821084583716,75360.0,reported,855.9662826565387,0.0,0.0,0.0,5.498389455140515,0.0,5.498389455140515,909.2112759236699,903.7128864685293,1163.3194740388565,0.6047427699964113
USA,wind,DEU,2024,1669.527372030262,875.537730004671,1046.1987495440808,793.9896420255911,0.2020092160890111,1921.7364795487517,2565.0,reported,1669.527372030262,0.35963052730300643,-0.08789029010201181,-0.008766988628485902,23.39967532570684,0.0,23.66264857427935,1035.2917565798798,1011.6291080056004,1945.399128123031,2.2856019497778752
