year,region,technology,tfp_multiplier,baseline_tfp,counterfactual_tfp
2050,United States,pv,0.6287313966921324,2.3310600957838172,1.4656106697954554
2050,United States,wind,0.9450044376787305,1.2186368478529173,1.1516172291398268
2050,Rest of America,pv,1.0,3.8105834511056513,3.8105834511056513
2050,Rest of America,wind,1.0,1.443674885273872,1.443674885273872
2050,Brazil,pv,0.2114306989406572,3.754880269028203,0.7938969597191158
2050,Brazil,wind,0.5583493247662177,2.0918677840233593,1.1679929647096468
2050,"EU, UK and EFTA",pv,0.2693007298011997,2.8178431519481135,0.7588472172849398
2050,"EU, UK and EFTA",wind,0.8988303236091414,1.2487958551674754,1.1224555826219365
2050,Eastern Europe,pv,1.0,3.8105834511056513,3.8105834511056513
2050,Eastern Europe,wind,1.0,1.443674885273872,1.443674885273872
2050,Russia,pv,1.0,3.8105834511056513,3.8105834511056513
2050,Russia,wind,1.0,1.443674885273872,1.443674885273872
2050,North Africa,pv,1.0,3.8105834511056513,3.8105834511056513
2050,North Africa,wind,1.0,1.443674885273872,1.443674885273872
2050,Sub Saharan,pv,1.0,3.8105834511056513,3.8105834511056513
2050,Sub Saharan,wind,1.0,1.443674885273872,1.443674885273872
2050,South Africa,pv,1.0,3.8105834511056513,3.8105834511056513
2050,South Africa,wind,1.0,1.443674885273872,1.443674885273872
