variable,value
"pkel[1,15]",1.8707032980891096
"pkel[2,15]",1.8330997471613888
"pkel[3,15]",1.8008129161631459
"pkel[4,15]",1.831879696983596
"pkel[5,15]",1.6868977739130229
"pkel[6,15]",1.704791750837905
"pkel[7,15]",1.6913051024678825
"pkel[8,15]",1.7563077339415016
"pkel[9,15]",1.808501176017657
"pkel[10,15]",1.5695738694118189
"pkel[11,15]",1.209216915627165
"pkel[13,15]",1.882271548893363
"pkel[14,15]",1.9126248783323254
"pkel[15,15]",1.3945313781922677
"pkel[1,16]",0.4261396082698294
"pkel[2,16]",0.44533705065600426
"pkel[3,16]",0.4540954565188065
"pkel[4,16]",0.4481411606268976
"pkel[5,16]",0.4222113121494586
"pkel[6,16]",0.7737789819474129
"pkel[7,16]",0.3790872564018341
"pkel[8,16]",0.3895200526094275
"pkel[9,16]",0.446724109483256
"pkel[10,16]",0.4332025394109071
"pkel[11,16]",0.7802439924839183
"pkel[13,16]",0.45746209056242965
"pkel[14,16]",0.42739218508538435
"pkel[15,16]",0.3738584044282554
"pkel[1,17]",0.7048818689928963
"pkel[2,17]",0.7009358099332541
"pkel[3,17]",0.7025124080895891
"pkel[4,17]",0.6973486795402704
"pkel[5,17]",0.6960407845215927
"pkel[6,17]",0.6653719407159236
"pkel[7,17]",0.7660705091244427
"pkel[8,17]",0.7763043570810367
"pkel[9,17]",0.7567248494721146
"pkel[10,17]",0.7238036517777564
"pkel[11,17]",0.8892296504933832
"pkel[13,17]",0.7213701989621185
"pkel[14,17]",0.692399473301138
"pkel[15,17]",0.6718898248398734
"pkel[1,18]",1.5672932056463416
"pkel[2,18]",1.5676742397547996
"pkel[3,18]",1.6660826364774561
"pkel[4,18]",1.586612702570406
"pkel[5,18]",1.449614867297401
"pkel[6,18]",1.7681636634991178
"pkel[7,18]",1.7464731028448501
"pkel[8,18]",1.4191428764400782
"pkel[9,18]",1.591121709911916
"pkel[10,18]",1.615514455851583
"pkel[11,18]",1.027273587866741
"pkel[13,18]",1.708748102229149
"pkel[14,18]",1.734599543684824
"pkel[15,18]",1.2038995929260174
"pfene[1,1]",1.7311331786323945
"pfene[2,1]",1.7367923083775727
"pfene[3,1]",1.6708281750841063
"pfene[4,1]",1.672945849463367
"pfene[5,1]",1.6861520909634298
"pfene[6,1]",1.5720957256990855
"pfene[7,1]",2.0108666815236558
"pfene[8,1]",2.5615620304867663
"pfene[9,1]",1.7203547124287488
"pfene[10,1]",1.7304057492612364
"pfene[11,1]",1.6184569431877887
"pfene[13,1]",1.8324603904488428
"pfene[14,1]",1.7243048362174906
"pfene[15,1]",1.620529502040982
"pfene[1,2]",0.9988170741027573
"pfene[2,2]",1.0109640335613699
"pfene[3,2]",0.9587279180688885
"pfene[4,2]",0.9628302982769044
"pfene[5,2]",0.9986302530639338
"pfene[6,2]",1.3874631580211987
"pfene[7,2]",1.4470338847954964
"pfene[8,2]",1.0732593650603495
"pfene[9,2]",1.0628483813447893
"pfene[10,2]",1.1175927431365462
"pfene[11,2]",1.0658681616873216
"pfene[13,2]",1.083491620260853
"pfene[14,2]",1.039317406404842
"pfene[15,2]",0.9308062385971749
"pfene[1,3]",1.2625678431782854
"pfene[2,3]",1.2625245424112967
"pfene[3,3]",1.262357826567141
"pfene[4,3]",1.2624648262446694
"pfene[5,3]",1.2624228564932811
"pfene[6,3]",1.267831756033351
"pfene[7,3]",1.0933508081142913
"pfene[8,3]",0.9557380521396767
"pfene[9,3]",1.2604762933394047
"pfene[10,3]",1.2675718602067483
"pfene[11,3]",1.3196056927463298
"pfene[13,3]",1.270788018012101
"pfene[14,3]",1.2847651679488596
"pfene[15,3]",1.2615826995921264
"pfene[1,4]",1.1448185980946346
"pfene[2,4]",1.1457728535849891
"pfene[3,4]",1.1489447382356106
"pfene[4,4]",1.1448920924038786
"pfene[5,4]",1.1462370205420567
"pfene[6,4]",1.06727604509646
"pfene[7,4]",1.0530808770928568
"pfene[8,4]",1.139187025966573
"pfene[9,4]",1.2193190985629325
"pfene[10,4]",1.0373830216597446
"pfene[11,4]",1.3361103698219228
"pfene[13,4]",1.4091288227247267
"pfene[14,4]",1.225134511360098
"pfene[15,4]",1.1546284445504518
"pfene[1,5]",1.009910487600015
"pfene[2,5]",0.9876197002719551
"pfene[3,5]",0.9983479105406653
"pfene[4,5]",0.9928340382102919
"pfene[5,5]",0.9854390036920367
"pfene[6,5]",0.896089265942129
"pfene[7,5]",0.8055240688707512
"pfene[8,5]",0.895025683509405
"pfene[9,5]",0.9890292010194439
"pfene[10,5]",1.2235775699389992
"pfene[11,5]",1.380871123338182
"pfene[13,5]",1.1069170088566642
"pfene[14,5]",1.108660251454134
"pfene[15,5]",0.9386701563758411
