scenario,year,region,technology,CO2_Mt
B,2030,South Africa,Oil_Power,0.017926406636640753
B,2030,South Africa,Gas_Power,9.683622091741866e-5
B,2030,South Africa,Nuclear,0.00010382704062060437
B,2030,South Africa,Hydro,1.7399837277984155e-5
B,2030,South Africa,Wind,0.0001497818065127637
B,2030,South Africa,Solar,0.0005233676954873905
B,2030,South Africa,Biomass,0.0014158785217668083
B,2050,Australia_Oceania,TnD,1.343866332427852
B,2050,Australia_Oceania,Coal_Power,174.49417151507618
B,2050,Australia_Oceania,Oil_Power,39.953904815129754
B,2050,Australia_Oceania,Gas_Power,54.97279728867982
B,2050,Australia_Oceania,Nuclear,0.00011327294347596959
B,2050,Australia_Oceania,Hydro,4.925161431533863e-5
B,2050,Australia_Oceania,Wind,0.0005182572015731219
B,2050,Australia_Oceania,Solar,0.00039115198797660977
B,2050,Australia_Oceania,Biomass,0.7429680783947615
B,2050,China,TnD,1.4026237464441451
B,2050,China,Coal_Power,3973.831725155693
B,2050,China,Oil_Power,183.05448975046212
B,2050,China,Gas_Power,218.4892914128539
B,2050,China,Nuclear,0.0002456517036135047
B,2050,China,Hydro,0.00017736039271054957
B,2050,China,Wind,0.0012774425322597829
B,2050,China,Solar,0.0033219670961048423
B,2050,China,Biomass,47.23201833257005
B,2050,Japan,TnD,0.14381949531142335
B,2050,Japan,Coal_Power,306.98707930628683
B,2050,Japan,Oil_Power,149.96860641727386
B,2050,Japan,Gas_Power,271.21332653988316
B,2050,Japan,Nuclear,7.88847020660665e-5
B,2050,Japan,Hydro,1.9935950795481594e-5
B,2050,Japan,Wind,0.00012194393877542798
B,2050,Japan,Solar,5.2106267663023966e-5
B,2050,Japan,Biomass,11.756391899040752
B,2050,South Korea,TnD,0.060608738929771526
B,2050,South Korea,Coal_Power,208.32930238146562
B,2050,South Korea,Oil_Power,63.95480400582157
B,2050,South Korea,Gas_Power,81.76248640995992
B,2050,South Korea,Nuclear,0.00012794265780135633
B,2050,South Korea,Hydro,3.232413187703611e-5
B,2050,South Korea,Wind,0.0002957813613957653
B,2050,South Korea,Solar,0.00029088751007861203
B,2050,South Korea,Biomass,4.016730186950532
B,2050,Rest of World,TnD,0.015991570380362575
B,2050,Rest of World,Coal_Power,29.798336356705754
B,2050,Rest of World,Oil_Power,6.104371601010383
B,2050,Rest of World,Gas_Power,2.6082311074986917
B,2050,Rest of World,Nuclear,7.472780020347539e-5
B,2050,Rest of World,Hydro,6.689169187448534e-5
B,2050,Rest of World,Wind,0.0013334237898700173
B,2050,Rest of World,Solar,0.004308398844606209
B,2050,Rest of World,Biomass,0.025964094894109332
B,2050,Southeast Asia,TnD,0.2073745937375674
B,2050,Southeast Asia,Coal_Power,614.7761700726682
B,2050,Southeast Asia,Oil_Power,27.19864795234129
B,2050,Southeast Asia,Gas_Power,223.3131808550693
B,2050,Southeast Asia,Nuclear,-1.2129809839747175e-5
B,2050,Southeast Asia,Hydro,0.0001100796044482385
