year,source_year,region,technology,baseline_tfp,cf_tfp,tfp_multiplier,alpha,mapping_status,countries
2027,2024,North Africa,pv,3.122413343643028,3.122413343643028,1.0,1.0,uncovered_neutral_legacy_reference,
2027,2024,Sub Saharan,pv,3.122413343643028,3.122413343643028,1.0,1.0,uncovered_neutral_legacy_reference,
2027,2024,South Africa,pv,3.122413343643028,3.122413343643028,1.0,1.0,uncovered_neutral_legacy_reference,
2028,2024,Australia_Oceania,pv,2.485705130808591,1.70235260945865,0.6848570203919887,1.0,observed_capacity_weighted,AUS
2028,2024,China,pv,2.333049287331037,2.333049287331037,1.0,1.0,China_no_inward_shock,CHN
2028,2024,Japan,pv,1.3771219152143344,1.1966607056986427,0.8689577099006482,1.0,observed_capacity_weighted,JPN
2028,2024,South Korea,pv,1.491888366895367,1.138187151214865,0.7629171032303459,1.0,observed_capacity_weighted,KOR
2028,2024,Rest of World,pv,3.394447272279185,3.394447272279185,1.0,1.0,uncovered_neutral_legacy_reference,
2028,2024,Southeast Asia,pv,3.394447272279185,3.394447272279185,1.0,1.0,uncovered_neutral_legacy_reference,
2028,2024,"Central, Western and South Asia",pv,3.394447272279185,3.394447272279185,1.0,1.0,uncovered_neutral_legacy_reference,
2028,2024,India,pv,2.529539079676918,1.7548882612412817,0.6937581140139659,1.0,observed_capacity_weighted,IND
2028,2024,Canada,pv,3.394447272279185,3.394447272279185,1.0,1.0,uncovered_neutral_legacy_reference,
2028,2024,United States,pv,2.1077009742595814,1.6090009285166567,0.7633914621507853,1.0,observed_capacity_weighted,USA
2028,2024,Rest of America,pv,3.394447272279185,3.394447272279185,1.0,1.0,uncovered_neutral_legacy_reference,
2028,2024,Brazil,pv,2.726376422247391,1.7022508816623163,0.6243638507771156,1.0,observed_capacity_weighted,BRA
2028,2024,"EU, UK and EFTA",pv,1.8036373826295382,1.3745731643605783,0.7621117069311218,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
2028,2024,Eastern Europe,pv,3.394447272279185,3.394447272279185,1.0,1.0,uncovered_neutral_legacy_reference,
2028,2024,Russia,pv,3.394447272279185,3.394447272279185,1.0,1.0,uncovered_neutral_legacy_reference,
2028,2024,North Africa,pv,3.394447272279185,3.394447272279185,1.0,1.0,uncovered_neutral_legacy_reference,
2028,2024,Sub Saharan,pv,3.394447272279185,3.394447272279185,1.0,1.0,uncovered_neutral_legacy_reference,
2028,2024,South Africa,pv,3.394447272279185,3.394447272279185,1.0,1.0,uncovered_neutral_legacy_reference,
2029,2024,Australia_Oceania,pv,2.485705130808591,1.70235260945865,0.6848570203919887,1.0,observed_capacity_weighted,AUS
2029,2024,China,pv,2.333049287331037,2.333049287331037,1.0,1.0,China_no_inward_shock,CHN
2029,2024,Japan,pv,1.3771219152143344,1.1966607056986427,0.8689577099006482,1.0,observed_capacity_weighted,JPN
2029,2024,South Korea,pv,1.491888366895367,1.138187151214865,0.7629171032303459,1.0,observed_capacity_weighted,KOR
2029,2024,Rest of World,pv,3.6271486857506927,3.6271486857506927,1.0,1.0,uncovered_neutral_legacy_reference,
2029,2024,Southeast Asia,pv,3.6271486857506927,3.6271486857506927,1.0,1.0,uncovered_neutral_legacy_reference,
2029,2024,"Central, Western and South Asia",pv,3.6271486857506927,3.6271486857506927,1.0,1.0,uncovered_neutral_legacy_reference,
2029,2024,India,pv,2.529539079676918,1.7548882612412817,0.6937581140139659,1.0,observed_capacity_weighted,IND
2029,2024,Canada,pv,3.6271486857506927,3.6271486857506927,1.0,1.0,uncovered_neutral_legacy_reference,
2029,2024,United States,pv,2.1077009742595814,1.6090009285166567,0.7633914621507853,1.0,observed_capacity_weighted,USA
2029,2024,Rest of America,pv,3.6271486857506927,3.6271486857506927,1.0,1.0,uncovered_neutral_legacy_reference,
2029,2024,Brazil,pv,2.726376422247391,1.7022508816623163,0.6243638507771156,1.0,observed_capacity_weighted,BRA
2029,2024,"EU, UK and EFTA",pv,1.8036373826295382,1.3745731643605783,0.7621117069311218,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
2029,2024,Eastern Europe,pv,3.6271486857506927,3.6271486857506927,1.0,1.0,uncovered_neutral_legacy_reference,
2029,2024,Russia,pv,3.6271486857506927,3.6271486857506927,1.0,1.0,uncovered_neutral_legacy_reference,
2029,2024,North Africa,pv,3.6271486857506927,3.6271486857506927,1.0,1.0,uncovered_neutral_legacy_reference,
2029,2024,Sub Saharan,pv,3.6271486857506927,3.6271486857506927,1.0,1.0,uncovered_neutral_legacy_reference,
2029,2024,South Africa,pv,3.6271486857506927,3.6271486857506927,1.0,1.0,uncovered_neutral_legacy_reference,
2030,2024,Australia_Oceania,pv,2.485705130808591,1.70235260945865,0.6848570203919887,1.0,observed_capacity_weighted,AUS
